Source;Human;Mouse;Function;Location;Target;Human;Mouse;Function;Location;Effects;Type of interaction;PubMedID
M2R;P08172;Q9ERZ4;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;8786435
M2R;P08172;Q9ERZ4;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;3037705
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;RASGAP;Q8IV61;Q91ZC8;GAP;Cytosol;+;Binding;8714559
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;bARK;P25098;O70293;Kinase;Cytosol;+;Binding;1325672
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;+;Binding;1962211
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;+;Binding;1312225
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;bARK;P25098;O70293;Kinase;Cytosol;+;Binding;1962211
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;bARK;P25098;O70293;Kinase;Cytosol;+;Binding;8416978
CALMODULIN;P62158;P62204;Activator;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;+;Binding;7685187
BETACATENIN;P35222;Q02248;TF;Cytosol;LEF;Q9UJU2;P27782;TF;Nucleus;+;Binding;8892228
BETACATENIN;P35222;Q02248;TF;Cytosol;LEF;Q9UJU2;P27782;TF;Nucleus;+;Binding;8757136
RAS;P01111;P08556;GTPase;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;+;Binding;9150145
RAS;P01111;P08556;GTPase;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;+;Binding;7820549
RAS;P01111;P08556;GTPase;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;+;Binding;8052307
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;+;Binding;8156600
BETACATENIN;P35222;Q02248;TF;Cytosol;TCF;P36402;Q00417;TF;Nucleus;+;Binding;9065401
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;NTYPECA;Q00975;P97445;Channel;Membrane;_;Binding;9009193
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;NTYPECA;Q00975;P97445;Channel;Membrane;_;Binding;10692440
IRS1;P35568;P35569;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;8491186
IRS1;P35568;P35569;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;8114695
SHC;P29353;Q61120;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;0;Binding;8491186
SHC;P29353;Q61120;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;0;Binding;9566877
SHC;P29353;Q61120;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;0;Binding;1465135
SHC;P29353;Q61120;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;0;Binding;8114695
IRS1;P35568;P35569;Adapter;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;+;Binding;1380456
IRS1;P35568;P35569;Adapter;Cytosol;NCK;P16333;Q60631;Adapter;Cytosol;+;Binding;8265614
IR;P06213;P15208;Receptor;Membrane;IRS1;P35568;P35569;Adapter;Cytosol;+;Phosphorylation;1385403
IR;P06213;P15208;Receptor;Membrane;IRS1;P35568;P35569;Adapter;Cytosol;+;Phosphorylation;2159922
JAK;O60674;Q62120;Kinase;Cytosol;STAT;P42224;P42227;TF;Nucleus;+;Phosphorylation;7504784
JAK;O60674;Q62120;Kinase;Cytosol;STAT;P42224;P42227;TF;Nucleus;+;Phosphorylation;7504785
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;IRS1;P35568;P35569;Adapter;Cytosol;+;Binding;7619809
PKC;P17252;P05697;Kinase;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Phosphorylation;8316301
SSTR1;P30872;P30873;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;8145728
SSTR1;P30872;P30873;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;8145728
SSTR1;P30872;P30873;Receptor;Membrane;GALPHAO;P09471;P18872;Gprotein;Cytosol;+;Binding;8145728
SSTR2;P30874;O08858;Receptor;Membrane;SHP1;Q96B97;Q9JLQ0;Phosphatase;Cytosol;+;Binding;9305905
D1R;P21728;Q61616;Receptor;Membrane;GALPHAS;P04895;P04894;Gprotein;Cytosol;+;Binding;1832710
D1R;P21728;Q61616;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;1832710
SSTR2;P30874;O08858;Receptor;Membrane;GALPHAO;P09471;P18872;Gprotein;Cytosol;+;Binding;1374909
SSTR2;P30874;O08858;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;1374909
SSTR2;P30874;O08858;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;1374909
FIVEHT2AR;P28223;P35363;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;6483122
PAFR;P25105;Q62035;Receptor;Membrane;GALPHAO;P09471;P18872;Gprotein;Cytosol;+;Binding;1311408
PAFR;P25105;Q62035;Receptor;Membrane;GALPHAO;P09471;P18872;Gprotein;Cytosol;+;Binding;3013161
PAFR;P25105;Q62035;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;8576109
M1R;P11229;P12657;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;1341877
M1R;P11229;P12657;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;3110621
M1R;P11229;P12657;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;8576109
PAFR;P25105;Q62035;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;1311408
PAFR;P25105;Q62035;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;8858930
PAFR;P25105;Q62035;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;7797472
M2R;P08172;Q9ERZ4;Receptor;Membrane;GALPHAO;P09471;P18872;Gprotein;Cytosol;+;Binding;2850835
M2R;P08172;Q9ERZ4;Receptor;Membrane;GALPHAO;P09471;P18872;Gprotein;Cytosol;+;Binding;2823384
M1R;P11229;P12657;Receptor;Membrane;GALPHA11;P29992;P21279;Gprotein;Cytosol;+;Binding;12200418
GALPHA13;Q14344;P27601;Gprotein;Cytosol;PYK2;Q14289;Q60629;Kinase;Cytosol;+;Binding;10821841
FIVEHT1AR;P08908;Q64264;Receptor;Membrane;GALPHAS;P04895;P04894;Gprotein;Cytosol;+;Binding;2941565
FIVEHT1AR;P08908;Q64264;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;2941565
PDK1;O15530;Q9Z2A0;Kinase;Cytosol;RSK;Q15418;P18653;Kinase;Cytosol;+;Phosphorylation;10480933
GRB2;P62993;Q60631;Adapter;Cytosol;SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;+;Binding;12112020
FIVEHT4R;Q13639;P97288;Receptor;Membrane;GALPHAS;P04895;P04894;Gprotein;Cytosol;+;Binding;2314390
FIVEHT2AR;P28223;P35363;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;6483122
FIVEHT4R;Q13639;P97288;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;2314390
SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;RASGAP;Q8IV61;Q91ZC8;GAP;Cytosol;0;Binding;9571195
SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;RASGAP;Q8IV61;Q91ZC8;GAP;Cytosol;0;Binding;9743338
FYN;P06241;P39688;Kinase;Cytosol;SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;0;Phosphorylation;14647465
SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;0;Binding;14647465
SRC;P12931;P05480;Kinase;Cytosol;SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;+;Phosphorylation;7512694
SRC;P12931;P05480;Kinase;Cytosol;SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;+;Phosphorylation;2236073
SRC;P12931;P05480;Kinase;Cytosol;SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;+;Phosphorylation;14643926
D2R;P14416;P61168;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;2898118
D1R;P21728;Q61616;Receptor;Membrane;GALPHAS;P04895;P04894;Gprotein;Cytosol;+;Binding;2898118
D2R;P14416;P61168;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;12869650
PKA;P17612;P05132;Kinase;Cytosol;PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;_;Phosphorylation;2479646
MGLUR1;Q13255;P97772;Receptor;Membrane;GALPHA11;P29992;P21279;Gprotein;Cytosol;+;Binding;12351712
MGLUR1;Q13255;P97772;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;12351712
MGLUR1;Q13255;P97772;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;1656524
SHP1;Q96B97;Q9JLQ0;Phosphatase;Cytosol;RET;P09455;Q00915;Receptor;Membrane;_;Dephosphorylation;11564708
RET;P09455;Q00915;Receptor;Membrane;IRS1;P35568;P35569;Adapter;Cytosol;0;Binding;11313948
RET;P09455;Q00915;Receptor;Membrane;SHC;P29353;Q61120;Adapter;Cytosol;0;Binding;11313948
RET;P09455;Q00915;Receptor;Membrane;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;10995764
RET;P09455;Q00915;Receptor;Membrane;SHC;P29353;Q61120;Adapter;Cytosol;0;Binding;10995764
PKA;P17612;P05132;Kinase;Cytosol;NFKB;P19838;P25799;TF;Nucleus;+;Phosphorylation;15197457
MAPK;P28482;P27703;Kinase;Cytosol;CBP;Q92793;P45481;TF;Nucleus;+;Phosphorylation;8941362
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;NFAT;O95644;O88942;TF;Nucleus;+;Dephosphorylation;8631904
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;NFAT;O95644;O88942;TF;Nucleus;+;Dephosphorylation;15364589
APAF1;O14727;O88879;Adapter;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;+;Cleavage;10617566
BAP31;P51572;Q61335;Adapter;ER;CASPASE8;Q14790;O89110;Protease;Cytosol;_;Binding;9334338
BAP31;P51572;Q61335;Adapter;ER;BCL2;P10415;Q64373;Bcl2Family;Mitochondria;+;Binding;9334338
BAP31;P51572;Q61335;Adapter;ER;BCLXL;Q07817;P70345;Bcl2Family;Mitochondria;+;Binding;9334338
CASPASE8;Q14790;O89110;Protease;Cytosol;CASPASE3;P42574;P70677;Protease;Cytosol;+;Cleavage;8962078
CASPASE8;Q14790;O89110;Protease;Cytosol;BID;P55957;P70444;Bcl2Family;Cytosol;+;Cleavage;9727492
FADD;Q13158;Q61160;Adapter;Cytosol;CASPASE8;Q14790;O89110;Protease;Cytosol;+;Binding;8681377
FAS;P25445;P25446;Receptor;Membrane;FADD;Q13158;Q61160;Adapter;Cytosol;+;Binding;8521815
BID;P55957;P70444;Bcl2Family;Cytosol;CYTOCHROMEC;P10606;P19536;Activator;Mitochondria;+;Binding;9727492
FASL;P48023;P41047;Ligand;Extracellular;FAS;P25445;P25446;Receptor;Membrane;+;Binding;1375228
FASL;P48023;P41047;Ligand;Extracellular;FAS;P25445;P25446;Receptor;Membrane;+;Binding;1713127
FASL;P48023;P41047;Ligand;Extracellular;FAS;P25445;P25446;Receptor;Membrane;+;Binding;7505205
BAX;Q07812;Q07813;Bcl2Family;Mitochondria;CYTOCHROMEC;P10606;P19536;Activator;Mitochondria;+;Binding;11139284
PHAP;P39687;O35381;Activator;Cytosol;APAF1;O14727;O88879;Adapter;Cytosol;+;Binding;12522243
SRC;P12931;P05480;Kinase;Cytosol;SHC;P29353;Q61120;Adapter;Cytosol;+;Phosphorylation;1409579
SRC;P12931;P05480;Kinase;Cytosol;SHC;P29353;Q61120;Adapter;Cytosol;+;Phosphorylation;10329689
PYK2;Q14289;Q60629;Kinase;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;+;Binding;10329689
SEC63P;Q9UGP8;Q9QYI4;Adapter;ER;BIP;P11021;P08109;Chaperone;ER;+;Binding;10400622
FOUREBP1;O60516;Q80VV3;TF;Nucleus;EIF4E;P06730;P20415;Adapter;Ribosomes;+;Binding;9472019
FOUREBP1;O60516;Q80VV3;TF;Nucleus;EIF4E;P06730;P20415;Adapter;Ribosomes;+;Binding;7935836
MTOR;P42345;Q9JLN9;Kinase;Cytosol;PHAS;Q13541;P70445;Inhibitor;Ribosomes;_;Phosphorylation;8895571
TRKB;Q16620;Q9Z139;Receptor;Membrane;FYN;P06241;P39688;Kinase;Cytosol;+;Binding;9648856
BDNF;P23560;P21237;Ligand;Extracellular;TRKB;Q16620;Q9Z139;Receptor;Membrane;+;Binding;9648856
FYN;P06241;P39688;Kinase;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;+;Phosphorylation;11677266
FYN;P06241;P39688;Kinase;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;+;Phosphorylation;9670010
SRC;P12931;P05480;Kinase;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;+;Phosphorylation;11677266
CALPAIN;P07384;O35350;Protease;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Cleavage;11677266
NMDAR;Q12879;P35436;Receptor;Membrane;SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;0;Binding;11677266
NMDAR;Q12879;P35436;Receptor;Membrane;SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;0;Binding;9670010
NMDAR;Q12879;P35436;Receptor;Membrane;PSD95;P78352;Q62108;Adapter;Cytosol;0;Binding;11677266
FYN;P06241;P39688;Kinase;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;+;Phosphorylation;12640114
FER;P16591;NA;Kinase;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;+;Phosphorylation;12640114
ALPHACATENIN;P35221;P26231;Cytoskeleton;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;0;Binding;12640114
NEUROLIGIN;Q8N2Q7;Q99K10;CellAdhesion;Membrane;NEUREXIN;P78357;O54991;CellAdhesion;Membrane;0;Binding;9325340
D2R;P14416;P61168;Receptor;Membrane;GALPHAO;P09471;P18872;Gprotein;Cytosol;+;Binding;1445393
D2R;P14416;P61168;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;1445393
LIMK;P53667;P53668;Kinase;Cytosol;COFILIN;P23528;P18760;Cytoskeleton;Cytosol;_;Phosphorylation;9655398
LIMK;P53667;P53668;Kinase;Cytosol;COFILIN;P23528;P18760;Cytoskeleton;Cytosol;_;Phosphorylation;12361576
PAK;Q13153;O88643;Kinase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;+;Phosphorylation;9823899
PAK;Q13153;O88643;Kinase;Cytosol;COOL;Q14155;Q9ES28;GEF;Cytosol;+;Binding;9659915
COOL;Q14155;Q9ES28;GEF;Cytosol;RHO;Q07960;Q8C0D4;GTPase;Cytosol;+;Binding;9659915
COOL;Q14155;Q9ES28;GEF;Cytosol;RAC;P15154;P15154;GTPase;Cytosol;+;GEF;9659915
COOL;Q14155;Q9ES28;GEF;Cytosol;CDC42;P60953;P60766;GTPase;Cytosol;+;GEF;9659915
RHO;Q07960;Q8C0D4;GTPase;Cytosol;ROCK;O75116;P70336;Kinase;Cytosol;+;Binding;8772201
P1433;Q04917;P11576;Adapter;Cytosol;COFILIN;P23528;P18760;Cytoskeleton;Cytosol;_;Binding;12361576
PAK;Q13153;O88643;Kinase;Cytosol;LIMK;P53667;P53668;Kinase;Cytosol;+;Phosphorylation;11413130
ROCK;O75116;P70336;Kinase;Cytosol;LIMK;P53667;P53668;Kinase;Cytosol;+;Phosphorylation;10436159
LIMK;P53667;P53668;Kinase;Cytosol;COFILIN;P23528;P18760;Cytoskeleton;Cytosol;_;Phosphorylation;10436159
PKA;P17612;P05132;Kinase;Cytosol;IP3R;Q14643;P11881;Channel;ER;_;Phosphorylation;2847175
PKA;P17612;P05132;Kinase;Cytosol;IP3R;Q14643;P11881;Channel;ER;_;Phosphorylation;1847804
SYNDECAN;P18827;P18828;Receptor;Membrane;SYNTENIN;O00560;Q99JZ0;Adapter;Cytosol;0;Binding;9391086
SYNDECAN;P18827;P18828;Receptor;Membrane;SYNTENIN;O00560;Q99JZ0;Adapter;Cytosol;0;Binding;11179419
SYNDECAN;P18827;P18828;Receptor;Membrane;SYNTENIN;O00560;Q99JZ0;Adapter;Cytosol;0;Binding;10770943
SYNTENIN;O00560;Q99JZ0;Adapter;Cytosol;MGLUR7;Q14831;P35400;Receptor;Membrane;0;Binding;11891216
GRIP;Q96CN9;Q9QYE6;Adapter;Cytosol;MGLUR7;Q14831;P35400;Receptor;Membrane;0;Binding;11891216
SYNTENIN;O00560;Q99JZ0;Adapter;Cytosol;MERLIN;P35240;P46662;Adapter;Cytosol;0;Binding;11891216
SYNTENIN;O00560;Q99JZ0;Adapter;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;0;Binding;11891216
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;+;Phosphorylation;7509863
PKC;P17252;P05697;Kinase;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;_;Phosphorylation;7694293
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;_;Phosphorylation;10874031
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;_;Phosphorylation;10400690
CAMKIV;Q16566;P08414;Kinase;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;_;Phosphorylation;10400690
PKA;P17612;P05132;Kinase;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;_;Phosphorylation;7532810
CALMODULIN;P62158;P62204;Activator;Cytosol;MLCK;Q15746;Q8VDF3;Kinase;Cytosol;+;Binding;6893940
CALMODULIN;P62158;P62204;Activator;Cytosol;MLCK;Q15746;Q8VDF3;Kinase;Cytosol;+;Binding;6934518
MLCK;Q15746;Q8VDF3;Kinase;Cytosol;MYOSIN;Q92614;Q9JMH9;Cytoskeleton;Cytosol;+;Phosphorylation;6893940
MLCK;Q15746;Q8VDF3;Kinase;Cytosol;MYOSIN;Q92614;Q9JMH9;Cytoskeleton;Cytosol;+;Phosphorylation;4522294
MLCK;Q15746;Q8VDF3;Kinase;Cytosol;MYOSIN;Q92614;Q9JMH9;Cytoskeleton;Cytosol;+;Phosphorylation;6934518
EEF2K;O00418;O08796;GTPase;Ribosomes;EEF2;P13639;P58252;GTPase;Ribosomes;_;Phosphorylation;3693353
EEF2K;O00418;O08796;GTPase;Ribosomes;EEF2;P13639;P58252;GTPase;Ribosomes;_;Phosphorylation;9133370
EEF2K;O00418;O08796;GTPase;Ribosomes;EEF2;P13639;P58252;GTPase;Ribosomes;_;Phosphorylation;3906654
EEF2K;O00418;O08796;GTPase;Ribosomes;EEF2;P13639;P58252;GTPase;Ribosomes;_;Phosphorylation;2704236
EEF2K;O00418;O08796;GTPase;Ribosomes;EEF2;P13639;P58252;GTPase;Ribosomes;_;Phosphorylation;2458772
CALMODULIN;P62158;P62204;Activator;Cytosol;EEF2K;O00418;O08796;GTPase;Ribosomes;+;Binding;3693353
CALMODULIN;P62158;P62204;Activator;Cytosol;EEF2K;O00418;O08796;GTPase;Ribosomes;+;Binding;3906654
RSK;Q15418;P18653;Kinase;Cytosol;EEF2K;O00418;O08796;GTPase;Ribosomes;_;Phosphorylation;11500364
S6K;P23443;Q9Z1M4;Kinase;Cytosol;EEF2K;O00418;O08796;GTPase;Ribosomes;_;Phosphorylation;11500364
MTOR;P42345;Q9JLN9;Kinase;Cytosol;S6K;P23443;Q9Z1M4;Kinase;Cytosol;+;Phosphorylation;11500364
MAPK;P28482;P27703;Kinase;Cytosol;RSK;Q15418;P18653;Kinase;Cytosol;+;Phosphorylation;11500364
L1;P32004;P11627;CellAdhesion;Membrane;AP2;P53680;P61966;Adapter;Vesicles;0;Binding;12070130
L1;P32004;P11627;CellAdhesion;Membrane;EZRIN;P15311;P26041;Cytoskeleton;Cytosol;+;Binding;12070130
CB1R;P21554;P47746;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;2165569
FAK;Q05397;Q60750;Kinase;Cytosol;FYN;P06241;P39688;Kinase;Cytosol;+;Binding;7505391
FAK;Q05397;Q60750;Kinase;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;+;Binding;7505391
RABPHILIN;Q9Y2J0;P47708;Vesicle;Vesicles;RAB3;P20336;P05713;GTPase;Vesicles;+;Binding;8262955
RABPHILIN;Q9Y2J0;P47708;Vesicle;Vesicles;RAB3;P20336;P05713;GTPase;Vesicles;+;Binding;8266731
PKA;P17612;P05132;Kinase;Cytosol;RABPHILIN;Q9Y2J0;P47708;Vesicle;Vesicles;+;Phosphorylation;7891174
PKA;P17612;P05132;Kinase;Cytosol;RABPHILIN;Q9Y2J0;P47708;Vesicle;Vesicles;+;Phosphorylation;9425005
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;RABPHILIN;Q9Y2J0;P47708;Vesicle;Vesicles;+;Phosphorylation;7891174
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;RABPHILIN;Q9Y2J0;P47708;Vesicle;Vesicles;+;Phosphorylation;9425005
FAK;Q05397;Q60750;Kinase;Cytosol;IRS1;P35568;P35569;Adapter;Cytosol;0;Binding;9822703
PROFILIN;P47756;P47757;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;+;Binding;9463375
PROFILIN;P47756;P47757;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;+;Binding;6893804
PROFILIN;P47756;P47757;Cytoskeleton;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;0;Binding;9463375
PROFILIN;P47756;P47757;Cytoskeleton;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;0;Binding;9463375
SRC;P12931;P05480;Kinase;Cytosol;CAS;P56945;Q61140;Adapter;Cytosol;+;Phosphorylation;8070403
CRK;P46108;Q64010;Adapter;Cytosol;CAS;P56945;Q61140;Adapter;Cytosol;0;Binding;8070403
CRK;P46108;Q64010;Adapter;Cytosol;C3G;Q13905;P27671;GEF;Cytosol;+;Binding;9560161
C3G;Q13905;P27671;GEF;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;+;GEF;9560161
C3G;Q13905;P27671;GEF;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;+;GEF;8524240
RAP1;P10113;P10113;GTPase;Cytosol;bRAF;P15056;Q99N57;Kinase;Cytosol;+;Binding;9560161
RAP1;P10113;P10113;GTPase;Cytosol;bRAF;P15056;Q99N57;Kinase;Cytosol;+;Binding;12446733
PAK;Q13153;O88643;Kinase;Cytosol;ABL;P00519;P00520;Kinase;Cytosol;+;Phosphorylation;11121037
NCK;P16333;Q60631;Adapter;Cytosol;ABL;P00519;P00520;Kinase;Cytosol;+;Phosphorylation;10488144
IRS1;P35568;P35569;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;8196603
A1R;P30542;Q60612;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;6162091
A1R;P30542;Q60612;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;3805010
A1R;P30542;Q60612;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;6305455
A1R;P30542;Q60612;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;6162091
ABL;P00519;P00520;Kinase;Cytosol;VAV;P15498;P27870;GEF;Cytosol;+;Phosphorylation;11790798
VAV;P15498;P27870;GEF;Cytosol;RAC;P15154;P15154;GTPase;Cytosol;+;GEF;11790798
ALPHA1AR;P35348;P97718;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;1334487
ALPHA2AR;P08913;Q01338;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;1849000
ALPHA1AR;P35348;P97718;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;1334487
ALPHA1AR;P35348;P97718;Receptor;Membrane;GALPHA11;P29992;P21279;Gprotein;Cytosol;+;Binding;1334487
ALPHA2AR;P08913;Q01338;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;1849000
ALPHA2AR;P08913;Q01338;Receptor;Membrane;GALPHAO;P09471;P18872;Gprotein;Cytosol;+;Binding;1849000
PKC;P17252;P05697;Kinase;Cytosol;ABL;P00519;P00520;Kinase;Cytosol;+;Phosphorylation;10713049
ABL;P00519;P00520;Kinase;Cytosol;P53;Q12888;P70399;TF;Nucleus;+;Binding;10629029
MEK2;Q9Y2U5;Q61083;Kinase;Cytosol;MAPK;P28482;P27703;Kinase;Cytosol;+;Phosphorylation;8226933
bRAF;P15056;Q99N57;Kinase;Cytosol;MEK1;Q92918;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;7731720
bRAF;P15056;Q99N57;Kinase;Cytosol;MEK1;Q92918;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;8073291
bRAF;P15056;Q99N57;Kinase;Cytosol;MEK1;Q92918;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;1748651
bRAF;P15056;Q99N57;Kinase;Cytosol;MEK1;Q92918;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;3043188
bRAF;P15056;Q99N57;Kinase;Cytosol;MEK1;Q92918;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;8385802
P1433;Q04917;P11576;Adapter;Cytosol;bRAF;P15056;Q99N57;Kinase;Cytosol;+;Binding;7744815
P1433;Q04917;P11576;Adapter;Cytosol;bRAF;P15056;Q99N57;Kinase;Cytosol;+;Binding;8085159
P1433;Q04917;P11576;Adapter;Cytosol;bRAF;P15056;Q99N57;Kinase;Cytosol;+;Binding;8085158
RAP1;P10113;P10113;GTPase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;_;Binding;12873387
RAP1;P10113;P10113;GTPase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;_;Binding;12446733
PKB;P31749;Q60823;Kinase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;_;Phosphorylation;10576742
RAS;P01111;P08556;GTPase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;+;Binding;7811320
RAS;P01111;P08556;GTPase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;+;Binding;8636091
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;AKAP;P24588;Q9JL25;Adapter;Cytosol;0;Binding;8599116
