symbol	entrezID	CAM type	Inter Pro	GO	NCBI	Sum	name				
TMEM8B	51754	m	0	1	0	1	nasopharyngeal carcinoma expressed 6				
TNN	63923	m	1	0	0	1	tenascin-N				
UMODL1	89766	m	1	0	0	1	olfactorin				
USH2A	7399	m	1	0	0	1	usher syndrome type-2A protein				
VCAN	1462	m	0	0	1	1	versican 				
WNT3A	89780	m	0	0	1	1	wingless-type MMTV integration site family member 3A 				
KIi0319L	79932	ag	1	0	0	1	dyslexia-associated protein KIi0319-like protein				
MDGA1	266727	ag	1	0	0	1	MAM domain-containing glycosylphosphatidylinositol anchor protein 1				
MDGA2	161357	ag	1	0	0	1	MAM domain-containing glycosylphosphatidylinositol anchor protein 2				
NTN1	9423	ag	0	0	1	1	netrin 1 				
PLXNB1	5364	ag	0	1	0	1	plexin B1				
PLXNB3	5365	ag	0	1	0	1	plexin B3				
ROBO3	64221	ag	1	0	0	1	roundabout homolog 3				
ROBO4	54538	ag	1	0	0	1	roundabout homolog 4				
SEMA3G	56920	ag	1	0	0	1	semaphorin 3G				
SLIT2	9353	ag	0	0	1	1	slit homolog 2				
VEZT	55591	aj	0	0	1	1	vezatin				
CD226	10666	c	0	0	1	1	CD226 molecule 				
CD6	923	c	0	0	1	1	CD6 molecule 				
KIR3DL3	100000000	c	1	0	0	1	killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 3				
KIR3DS1	3813	c	1	0	0	1	killer cell immunoglobulin-like receptor 3DS1				
PECAM1	5175	c	0	0	1	1	platelet endothelial cell adhesion molecule 1 				
SELL	6402	c	0	0	1	1	selectin L 				
SPAM1	6677	c	0	0	1	1	sperm adhesion molecule 1 				
FERMT2	10979	fa	0	1	0	1	fermitin family homolog 2				
LIMS2	55679	fa	0	0	1	1	LIM and senescent cell antigen-like domains 2 				
LPP	4026	fa	0	0	1	1	LIM domain containing preferred translocation partner in lipoma 				
NEDD9	4739	fa	0	0	1	1	neural precursor cell expressed, developmentally down-regulated 9 				
PEAK1	79834	fa	0	1	0	1	NKF3 kinase family member				
PKP3	11187	fa	0	0	1	1	plakophilin 3 				
TSC1	7248	fa	0	1	0	1	tuberous sclerosis 1 protein				
ZYX	7791	fa	0	0	1	1	zyxin 				
MAG	4099	my	0	0	1	1	myelin associated glycoprotein 				
OMG	4974	my	0	0	1	1	oligodendrocyte myelin glycoprotein 				
AJAP1	55966	tj	0	0	1	1	adherens junctions associated protein 1 				
AJUBA	84962	tj	0	0	1	1	ajuba LIM protein 				
CLDN3	1365	tj	0	0	1	1	claudin 3 				
DSP	1832	tj	0	0	1	1	desmoplakin 				
DST	667	tj	0	0	1	1	dystonin 				
ESAM	90952	tj	0	0	1	1	endothelial cell adhesion molecule 				
F11R	50848	tj	0	0	1	1	F11 receptor 				
JAM3	83700	tj	0	0	1	1	junctional adhesion molecule 3 				
