Entry	Cross-reference (RefSeq)
Q14CB8	NP_001191229.1;NP_001243352.1;NP_116289.4;
Q9P2F6	NP_001245344.1;NP_001245345.1;NP_001245346.1;NP_001245347.1;NP_065860.2;XP_006718956.1;
Q5T5U3	NP_065875.3;XP_005252599.1;XP_005252600.1;XP_006717550.1;XP_006717551.1;
Q7Z5H3	NP_001242953.1;NP_001242954.1;NP_001242955.1;NP_067049.2;
Q9P227	NP_001186346.1;XP_006722057.1;XP_006725396.1;
Q8N264	NP_001020787.2;NP_001036134.1;NP_112595.2;XP_005263320.1;
P42331	NP_001007232.2;NP_001159748.1;NP_001159749.1;NP_055697.1;XP_005264732.1;
Q9UNA1	NP_001129080.1;NP_055886.1;
Q6ZUM4	NP_001269219.1;NP_777579.2;NP_954976.1;XP_006721808.1;XP_006721809.1;XP_006725671.1;XP_006725672.1;
Q9P2N2	
Q52LW3	NP_004806.3;
Q7Z6I6	NP_001020769.1;NP_001274529.1;NP_001274531.1;NP_859071.2;XP_005245128.1;XP_005245130.1;
Q2M1Z3	NP_065805.2;
A7KAX9	NP_001136157.1;NP_055530.2;
O14559	NP_001166101.1;NP_443180.2;XP_005258545.1;
Q9NRY4	NP_004482.4;
Q6ZRI8	NP_001269536.1;NP_659404.2;XP_006724792.1;
Q9C0H5	NP_079527.1;XP_005272401.1;
Q5TG30	
A6NI28	NP_689645.2;
Q17R89	NP_055674.4;XP_005256945.1;XP_005256947.1;
Q6P4F7	NP_001273408.1;NP_001273409.1;NP_055598.1;NP_955389.1;XP_006720851.1;XP_006725627.1;
Q3KRB8	NP_001034930.1;
A8MT19	
Q9BSD3	NP_001239428.1;NP_001239429.1;NP_001244026.1;NP_001244027.1;
P61586	NP_001655.1;
P62745	NP_004031.1;
P08134	NP_001036143.1;NP_001036144.1;NP_786886.1;
O00212	NP_055393.1;
Q9HBH0	NP_061907.2;
P84095	NP_001656.2;XP_005252973.1;
Q15669	NP_001265288.1;NP_001265289.1;NP_001265290.1;NP_001265291.1;NP_001265292.1;NP_001265293.1;NP_001265294.1;NP_001265295.1;NP_001265296.1;NP_001265297.1;NP_001265298.1;NP_004301.1;XP_006714076.1;
Q9H4E5	NP_065714.1;
P17081	NP_036381.2;
Q7L0Q8	NP_067028.1;
Q96L33	NP_598378.3;
Q8TCX5	NP_443156.2;
Q8IUC4	NP_149094.3;
Q8NHV9	NP_644811.1;
Q9BQY4	NP_115887.1;
A6NNX1	NP_001138428.1;
Q8N443	NP_001026915.1;NP_001253982.1;NP_659405.1;XP_005262045.1;
Q9H4K1	NP_056468.3;XP_005261581.1;
Q4ADV7	NP_001129392.2;NP_001193486.1;NP_065880.2;
Q7Z5B4	NP_001128581.1;NP_001193600.1;NP_001193601.1;NP_078833.3;XP_006718381.1;XP_006718383.1;
Q9NPQ8	NP_001273063.1;NP_068751.4;XP_006718333.1;
Q9NVN3	NP_060627.2;XP_005269056.1;
Q6R327	NP_001272368.1;NP_001272369.1;NP_689969.2;
Q5UIP0	NP_001171134.1;NP_001171135.1;NP_001171136.1;NP_060621.3;XP_005246722.1;
Q969G6	NP_060809.3;
Q13278	
Q96NA2	NP_113618.2;
Q9UFD9	NP_056487.1;
A6NNM3	NP_001122107.1;
A6NJZ7	NP_001122105.1;
O95153	NP_001248764.1;NP_004749.2;NP_077729.1;XP_006722236.1;
O15034	NP_056162.4;
Q8IXN7	NP_775913.2;
Q9ULI2	NP_001284705.1;NP_065785.2;XP_006719179.1;XP_006719180.1;XP_006719181.1;XP_006719182.1;XP_006719183.1;XP_006719184.1;XP_006719185.1;XP_006719186.1;XP_006719187.1;XP_006719188.1;XP_006719190.1;
Q86UR5	NP_001161879.1;NP_001161880.1;NP_001161881.1;NP_001161882.1;NP_001161883.1;NP_055804.2;XP_006715451.1;
Q9UQ26	NP_001093587.1;NP_001269810.1;NP_001269811.1;NP_055492.3;
Q9UJD0	NP_055562.2;
Q9H426	NP_001192246.1;NP_892015.1;
Q13671	NP_004283.2;
Q8WYP3	NP_001229510.1;NP_061866.1;XP_005260787.2;XP_005260788.1;XP_006723636.1;XP_006723637.1;XP_006723638.1;XP_006723639.1;XP_006723640.1;
Q8TB24	NP_079108.3;
Q06587	NP_002922.2;
Q99496	NP_009143.1;
P13489	NP_002930.2;NP_976317.1;NP_976318.1;NP_976319.1;NP_976320.1;NP_976321.1;NP_976322.1;NP_976323.1;
Q6ZS11	NP_001182762.1;NP_940847.1;
Q6NUQ1	NP_068749.3;
Q9BRS2	NP_113668.2;
Q9BVS4	NP_001153221.1;NP_060813.2;
O14730	NP_003822.2;
Q13546	NP_003795.2;XP_005249515.1;
O43353	NP_003812.1;XP_005251149.1;
Q9Y572	NP_006862.2;
Q969X0	NP_659495.1;
Q5EBL4	NP_847884.2;XP_006719437.1;
P57078	
Q0D2K3	NP_001165177.1;NP_612391.1;
Q5TAB7	NP_001009994.1;
Q86UA6	NP_001028174.2;NP_001153715.1;NP_001153716.1;NP_001153718.1;NP_001153738.1;
P23921	NP_001024.1;
Q7LG56	NP_001165948.1;NP_001165949.1;NP_056528.2;
P31350	NP_001025.1;NP_001159403.1;
Q9HB40	NP_067639.1;
Q92963	NP_001243749.1;NP_001243750.1;NP_008843.1;
Q99578	NP_001259006.1;NP_002921.1;
Q96K30	NP_001273144.1;NP_116237.1;XP_005254029.1;
Q15835	NP_002920.1;
P62906	NP_009035.3;
Q96L21	NP_542784.1;
P27635	NP_001243506.1;NP_001243509.1;NP_006004.2;
P62913	NP_000966.2;NP_001186731.1;
P30050	NP_000967.1;
P40429	NP_001257420.1;NP_036555.1;
P26373	NP_000968.2;NP_001230059.1;NP_001230060.1;NP_150254.1;
P50914	NP_001030168.1;NP_003964.3;
P61313	NP_001240308.1;NP_001240309.1;NP_001240311.1;NP_001240312.1;NP_001240313.1;NP_002939.2;
P18621	NP_000976.1;NP_001030178.1;NP_001186269.1;NP_001186270.1;NP_001186271.1;NP_001186272.1;NP_001186273.1;NP_001186274.1;NP_001186284.1;
Q02543	NP_000971.1;
Q07020	NP_000970.1;NP_001257419.1;
P84098	NP_000972.1;
O76021	NP_056474.2;
P46778	NP_000973.2;
Q6P5R6	NP_001093115.1;
P35268	NP_000974.1;
P62750	NP_000975.2;
P62829	NP_000969.1;
P83731	NP_000977.1;
Q9UNX3	NP_057177.1;XP_005265979.1;XP_005265980.1;
P61254	NP_000978.1;XP_005256806.1;XP_005256807.1;
P46776	NP_000981.1;
P61353	NP_000979.1;
P46779	NP_000982.2;NP_001129606.1;NP_001129607.1;NP_001129608.1;NP_001129609.1;
P47914	NP_000983.1;
P62888	NP_000980.1;
P62899	NP_000984.1;NP_001092047.1;NP_001093163.1;
P62910	NP_000985.1;NP_001007074.1;NP_001007075.1;
P49207	NP_000986.2;NP_296374.1;XP_005263229.1;XP_006714350.1;
P18077	NP_000987.2;XP_005269408.1;
P42766	NP_009140.1;
P83881	NP_066357.2;
Q969Q0	NP_000992.1;
Q9Y3U8	NP_056229.2;NP_378669.1;
P61513	NP_000989.1;
A6NKH3	
P61927	NP_000988.1;
P63173	NP_000990.1;NP_001030335.1;
Q96EH5	NP_443201.1;
P62891	NP_000991.1;
Q92901	NP_005052.1;
Q9NSD7	NP_057652.1;
Q8TDU9	NP_871001.1;
P39023	NP_000958.1;
P62987	NP_001029102.1;NP_003324.1;
P62945	NP_001030344.1;NP_066927.1;
P36578	NP_000959.2;
P46777	NP_000960.2;
Q02878	NP_000961.2;NP_001019833.1;XP_006719609.1;XP_006719610.1;XP_006719611.1;XP_006719612.1;
P62424	NP_000963.1;
Q6DKI1	NP_940888.2;
P18124	NP_000962.2;
P62917	NP_000964.1;NP_150644.1;
P32969	NP_000652.2;NP_001020092.1;XP_005262718.1;
Q8NHW5	
P05388	NP_000993.1;NP_444505.1;
P05386	NP_000994.1;NP_998890.1;
P05387	NP_000995.1;
P12271	NP_000317.1;
Q13129	NP_036553.2;
Q86X10	NP_001269846.1;NP_001269847.1;NP_065069.1;
Q9UHA3	NP_057388.1;
Q9BYD6	NP_064621.3;
Q5T653	NP_001287777.1;NP_057034.2;
P09001	NP_009139.1;
Q9BYD3	NP_057040.2;NP_666499.1;NP_666500.1;
Q9BYD2	NP_001287662.1;NP_113608.1;
Q7Z7H8	NP_660298.2;NP_683685.1;
Q9Y3B7	NP_057134.1;NP_733934.1;NP_733935.1;XP_006718729.1;
P52815	NP_002940.2;
Q9BYD1	NP_054797.2;
Q6P1L8	NP_115487.2;XP_005249357.1;XP_005249358.1;
Q9P015	NP_054894.1;
Q9NX20	NP_060310.1;
Q9NRX2	NP_071344.1;
Q9H0U6	NP_054880.2;
P49406	NP_055578.2;
Q9BYC9	NP_060441.2;XP_005244824.1;
Q7Z2W9	NP_852615.1;NP_852616.1;
Q9NWU5	NP_001014990.1;NP_054899.2;
Q16540	NP_066957.3;
Q96A35	NP_078816.2;NP_663781.1;
Q9P0M9	NP_057588.1;
Q13084	NP_006419.2;XP_005255098.1;
Q8TCC3	NP_660213.1;
Q9BYC8	NP_114109.1;
O75394	NP_004882.1;NP_663303.1;
Q9BQ48	NP_076426.1;
Q9NZE8	NP_057706.2;NP_663619.1;
Q9P0J6	NP_115868.1;
Q9BZE1	NP_057575.2;
Q96DV4	NP_115867.2;
Q9NYK5	NP_059142.2;NP_542984.2;XP_006724089.1;
Q9NQ50	NP_003767.2;
Q8IXM3	NP_115866.1;
Q9Y6G3	NP_054769.1;NP_751917.1;
Q8N983	NP_115488.2;NP_789762.1;NP_789763.1;NP_789764.1;XP_005270287.1;XP_005270288.1;XP_006718098.1;
Q9H9J2	NP_075066.1;
Q9BRJ2	
Q9H2W6	NP_071446.2;
Q9HD33	NP_065142.2;NP_817125.1;
Q96GC5	NP_057139.1;XP_005274107.1;
Q13405	NP_004918.1;
Q8N5N7	NP_061924.1;
Q4U2R6	NP_057581.2;
Q86TS9	NP_848026.1;NP_851313.1;NP_851821.1;NP_851822.1;NP_851823.1;NP_851824.1;XP_005267384.1;XP_005267385.1;XP_006720090.1;
Q96EL3	NP_444278.1;
Q6P161	NP_758455.1;
Q7Z7F7	NP_852106.1;NP_852119.1;NP_852120.1;NP_852121.1;NP_852127.2;NP_852128.1;NP_852129.1;NP_852130.1;XP_005273116.1;XP_005273117.1;XP_005273118.1;XP_005273119.1;XP_005273120.1;XP_006711811.1;
Q96DB5	NP_001273636.1;NP_001273648.1;NP_057117.2;
Q96LZ7	NP_001164262.1;NP_001164263.1;NP_001164264.1;NP_653314.3;
Q96TC7	NP_060615.1;XP_005254588.1;
Q9H871	NP_073617.1;
Q96G75	NP_001275723.1;NP_001275724.1;NP_073599.2;XP_005266026.1;XP_005266028.1;XP_005266029.1;
Q9H9A7	NP_079221.2;XP_005252268.1;XP_005252270.1;
Q96E14	NP_689521.1;
Q9NWS8	NP_001258866.1;NP_060379.2;XP_005267097.1;
O94763	NP_001239570.1;NP_003787.2;
Q96E39	NP_001156008.1;NP_062556.2;
O75526	NP_055284.3;
Q8N7X1	NP_001138818.1;
O00237	NP_001185880.1;NP_001185881.1;NP_005658.1;
Q6ZNA4	NP_001257457.1;NP_001257458.1;NP_001257459.1;NP_060080.6;XP_005254536.1;XP_006720642.1;XP_006720643.1;
Q9ULX5	NP_009079.2;
Q9Y508	NP_061153.1;
Q9Y4L5	NP_055270.1;
Q9H920	NP_060790.2;XP_006718693.1;
Q9H9V4	NP_079063.2;
Q5XPI4	NP_071347.2;XP_006713348.1;
Q96EQ8	NP_060301.2;
Q9BV68	NP_919442.1;
Q8TEB7	NP_078815.3;NP_919445.1;
Q8WVZ7	NP_631914.1;
Q8IUD6	NP_001171921.1;NP_115698.3;NP_922921.1;
Q8WVD3	NP_001178253.2;NP_057355.2;NP_937761.1;XP_005258343.1;
Q8WU17	NP_009149.2;
Q8WVD5	NP_057506.2;
Q96MT1	NP_001186309.1;NP_001186310.1;NP_001186311.1;NP_001186312.1;NP_653327.1;
Q9NTX7	NP_001229773.1;NP_001229774.1;NP_001229775.1;NP_001229778.1;NP_001229779.1;NP_001229780.1;NP_001229781.1;NP_112225.2;XP_006715634.1;
Q8N7C7	NP_932351.1;
Q8NC42	NP_775918.2;
Q9ULK6	NP_065775.1;
Q2KHN1	NP_777563.2;
Q8N8N0	NP_775828.1;XP_005266707.1;XP_005266708.1;XP_005266709.1;XP_005266710.1;XP_005266711.1;
Q96PX1	NP_443148.1;
Q6ZSG1	NP_001243687.1;NP_689683.2;
Q96A37	NP_001165286.1;NP_001165287.1;NP_849163.1;XP_005256335.1;
Q9H6Y7	NP_056343.1;XP_005256656.1;
Q8IYW5	NP_689830.2;
Q8NCN4	NP_001092108.1;
Q96K19	NP_001153695.1;NP_001153696.1;NP_001153697.1;NP_112216.3;XP_006716467.1;XP_006716469.1;
Q8N4F7	NP_775933.1;
Q86T96	NP_001107033.1;NP_848627.1;XP_006714652.1;XP_006714653.1;
Q9P0P0	NP_057578.1;
Q8N6D2	NP_001158504.1;NP_001158505.1;NP_001158506.1;NP_689950.1;
Q96D59	NP_659488.2;XP_006717015.1;
Q96GF1	NP_001129297.1;NP_689480.2;XP_006724436.1;XP_006724437.1;
Q9NXI6	NP_061935.1;
Q5TA31	NP_001010858.2;
Q9NV58	NP_001267468.1;NP_056250.3;NP_904355.1;XP_005250910.1;
Q6ZMZ0	NP_001120833.1;NP_001287755.1;NP_699172.2;XP_006710419.1;
Q6ZRF8	NP_997279.2;
Q9H0X6	NP_112587.2;
Q495C1	NP_001124506.1;NP_001180247.1;NP_919420.1;XP_005272332.1;
Q63HN8	NP_001243000.2;NP_066005.2;
Q8ND24	NP_001070707.1;NP_001265178.1;NP_997226.2;
Q9Y6U7	NP_001017981.1;
Q9NWF9	NP_996994.1;NP_996999.1;XP_005249842.1;XP_006715811.1;
Q8TC41	NP_001273327.1;NP_689766.1;
Q5W0B1	NP_078822.3;
Q5VTB9	NP_060620.2;XP_005271051.1;
A6NCQ9	NP_001140156.1;
E7ERA6	NP_001192181.1;
P0DH78	NP_001177157.1;
M0QZC1	NP_001182064.1;XP_006723391.1;
Q2M238	
A6NIE6	
Q05823	NP_066956.1;XP_005245468.1;
P07998	NP_002924.1;NP_937875.1;NP_937877.1;NP_937878.1;
P10153	NP_002925.1;
P34096	NP_001269121.1;NP_001269122.1;NP_002928.1;NP_919412.1;
Q93091	NP_005606.1;
Q9H1E1	NP_115961.2;
Q8TDE3	NP_612204.1;
P60153	NP_001001673.2;NP_001103826.1;NP_001103827.1;NP_001103828.1;NP_001103829.1;NP_001103830.1;NP_001103831.1;NP_001276039.1;XP_006720205.1;
Q86VV4	NP_001154901.1;NP_659437.3;
O60518	NP_001230131.1;NP_001230132.1;NP_036548.1;
Q9NRR4	NP_001093882.1;NP_037367.3;XP_005248348.1;XP_005248351.1;
Q92730	NP_055285.1;
P52198	NP_005431.1;
P61587	NP_001241667.1;NP_005159.1;
Q8N5U6	NP_055683.3;XP_006719780.1;
Q9Y3C5	NP_055187.1;
Q9NVW2	NP_057204.2;NP_899196.1;
O43567	NP_009213.1;NP_899237.1;XP_005247149.1;
Q9UBS8	NP_001188294.1;NP_004281.1;NP_899645.1;NP_899646.1;NP_899647.1;NP_899648.1;XP_005268593.1;XP_005268594.1;XP_005268595.1;XP_005268596.1;XP_005268597.1;XP_005268598.1;
Q9BXT8	NP_112567.2;
Q9Y225	NP_001127809.1;NP_001127810.1;NP_009150.1;XP_006723599.1;
Q96BH1	NP_071898.2;
Q9BY78	NP_114404.1;
Q96EP0	NP_060469.4;
Q9H0A6	NP_001171925.1;NP_001171926.1;NP_112198.1;XP_005249579.1;XP_006715915.1;
Q969K3	NP_001243787.1;NP_079402.2;NP_919247.1;
O94941	NP_055763.1;NP_955447.1;
Q9H0F5	NP_073618.3;NP_919309.1;NP_919310.1;NP_919311.1;NP_919313.1;XP_005251423.1;XP_005251424.1;XP_005251425.1;XP_006716784.1;
Q9H2S5	NP_079512.2;NP_739575.2;
Q9H4P4	NP_001229755.1;NP_005776.1;NP_919339.1;NP_919340.1;XP_005268618.1;
Q68DV7	NP_060233.3;
Q7L0R7	NP_055716.1;XP_005265897.1;XP_005265898.1;XP_005265899.1;XP_005265900.1;XP_005265901.1;XP_005265902.1;
P78317	NP_001171938.1;NP_001171939.1;NP_002929.1;
Q99942	NP_008844.1;
Q9Y252	NP_005968.1;NP_898864.1;NP_898865.1;XP_005266542.1;XP_005266543.1;XP_006719917.1;
O76064	NP_003949.1;NP_898901.1;
Q5M7Z0	NP_057209.3;
Q96EX2	NP_001103373.1;NP_116203.2;XP_005254025.1;XP_005254026.1;
O60930	NP_001273763.1;NP_001273766.1;NP_002927.2;
O75792	NP_006388.2;
Q5TBB1	NP_001135751.1;NP_078846.2;
Q8TDP1	NP_115569.2;
Q6P5S7	NP_001004333.2;
Q5VYX0	NP_001026879.2;NP_060833.1;
Q9HAU8	NP_060696.4;
Q15287	NP_001273554.1;NP_001273555.1;NP_001273556.1;NP_006702.1;NP_542161.1;XP_005255105.1;XP_005255106.1;
Q5GAN6	NP_001012993.1;XP_005267641.1;
Q8TAA1	NP_660293.1;
Q5GAN4	NP_001019993.1;
Q5GAN3	NP_001012264.1;
O00584	NP_003721.2;
Q9H777	NP_061166.1;
Q9BQ52	NP_001159434.1;NP_060597.4;NP_776065.1;
P19474	NP_003132.2;XP_006718346.1;
P10155	NP_001035828.1;NP_001035829.2;NP_001166995.1;NP_001166996.1;NP_004591.2;XP_006711560.1;
Q13151	NP_006796.1;
P09651	NP_002127.1;NP_112420.1;XP_005268883.1;
P22626	NP_002128.1;NP_112533.1;XP_005249786.1;
P51991	NP_919223.1;XP_005246437.1;
Q99729	NP_004490.2;NP_112556.2;
Q9Y6N7	NP_001139317.1;NP_002932.1;NP_598334.2;XP_006713340.1;
Q9HCK4	NP_001122401.1;NP_001276968.1;NP_001276969.1;NP_001276994.1;NP_002933.1;
Q96MS0	NP_071765.2;
Q8WZ75	NP_001288017.1;NP_061928.4;
Q13464	NP_005397.1;
O75116	NP_004841.2;
Q9GZN7	NP_078865.1;
Q03395	NP_000318.1;
P60602	NP_542786.1;
Q04912	NP_001231866.1;NP_002438.2;
Q9HAT0	NP_060048.2;XP_005247606.1;
Q9BZX4	NP_001012337.1;XP_005247194.1;XP_005247195.1;XP_006713576.1;
Q96C74	NP_001188395.1;NP_114122.2;
Q01973	NP_001077061.1;NP_005003.2;
Q01974	NP_004551.2;
P35398	NP_002934.1;NP_599022.1;NP_599023.1;NP_599024.1;
Q92753	
P51449	NP_001001523.1;NP_005051.2;
P08922	NP_002935.2;
Q8IWN7	
A6NIZ1	
P56715	NP_006260.1;
Q8N5L8	NP_680544.1;NP_680545.1;
Q9Y2J0	NP_001137326.1;NP_055769.2;
Q8TA86	NP_976033.1;
Q9P1U0	NP_001265714.1;NP_001265715.1;NP_055411.1;NP_740753.1;
O95602	NP_056240.2;
Q9H9Y6	NP_001131076.1;NP_001269701.1;NP_001269703.1;NP_001269705.1;NP_001269706.1;NP_001269708.1;NP_061887.2;
O15446	NP_001284519.1;NP_036231.1;
Q3B726	NP_001002926.1;
Q9GZS1	NP_001269695.1;NP_071935.1;XP_005251604.1;
P19388	NP_002686.2;
P61218	NP_068809.1;
P52434	NP_001265627.1;NP_001265628.1;NP_001265629.1;NP_001265643.1;NP_001265644.1;NP_006223.2;XP_005247598.1;XP_006713729.1;XP_006713730.1;XP_006713731.1;XP_006713733.1;
P53803	NP_005025.1;
P62875	NP_066951.1;
O15160	NP_976035.1;XP_005249548.1;
Q9Y2S0	NP_001193488.1;NP_057056.1;NP_689918.1;XP_005266469.1;XP_005266471.1;
Q9BWH6	NP_056355.2;XP_005254354.1;
Q8IXW5	NP_079089.2;
Q9H6T3	NP_001139547.1;NP_001139548.1;NP_078880.2;
P52435	NP_006225.1;
Q9GZM3	NP_001091084.2;NP_116581.3;XP_006716095.1;XP_006716096.1;
Q9H1A7	
P24928	NP_000928.1;
P30876	NP_000929.1;
P19387	NP_116558.1;
O15514	NP_004796.1;
P62487	NP_002687.1;
P36954	NP_006224.1;
Q9Y2Y1	NP_057394.3;
O14802	NP_008986.2;
Q9NW08	NP_001154180.1;NP_060552.4;
Q9BUI4	NP_006459.3;
P05423	NP_001713.2;
Q9NVU0	NP_001244962.1;NP_001244963.1;NP_001244964.1;NP_001244965.1;NP_060589.1;XP_005276555.1;XP_006721126.1;XP_006726676.1;
Q9H1D9	NP_001269455.1;NP_006457.2;
Q9BT43	NP_115681.1;XP_005277488.1;
O15318	NP_006458.2;XP_005248461.1;XP_006714582.1;XP_006714583.1;
Q9Y535	NP_001018060.1;NP_001018062.1;NP_001269813.1;NP_001269814.1;NP_612211.1;
O75575	NP_001035737.1;NP_001035738.1;NP_001135886.1;NP_055293.1;
Q16518	NP_000320.1;
Q2QD12	NP_001137381.1;
Q96AT9	NP_001265211.1;NP_001265212.1;NP_001265214.1;NP_001265215.1;NP_001265217.1;NP_001265218.1;NP_008847.1;NP_954699.1;XP_006712740.1;
Q9H9Y2	NP_079341.2;
Q9H7B2	NP_115570.1;
Q13905	NP_005303.2;NP_941372.1;
Q9Y4G8	NP_055062.1;
O95398	NP_001092002.1;NP_006096.2;
Q8WZA2	NP_001093867.1;NP_001269828.1;NP_001269829.1;NP_001269830.1;NP_008954.2;XP_006712268.1;
Q92565	NP_036426.3;
Q8TEU7	NP_001157858.1;NP_001157859.1;NP_001157860.1;NP_001157861.1;NP_001157862.1;NP_057424.3;
Q9UHV5	NP_057423.1;XP_006721996.1;XP_006722000.1;
P47736	NP_001139129.1;NP_001139130.1;NP_002876.2;
Q684P5	NP_001093868.1;NP_055900.4;XP_006721540.1;
Q96KN7	NP_065099.3;XP_006720272.1;
Q92834	NP_000319.1;NP_001030025.1;XP_006724601.1;
Q9UNE2	NP_001177340.1;NP_001177341.1;NP_001177342.1;NP_008918.1;XP_006721426.1;XP_006725314.1;
P49247	NP_653164.2;
Q9Y6S9	NP_113652.2;XP_005268171.1;
P04843	NP_002941.1;
P04844	NP_001129243.1;NP_002942.2;
O00411	NP_005026.3;
O95059	NP_001092253.1;NP_008973.1;
Q9H633	NP_001186049.1;NP_001186050.1;NP_079115.1;
Q9BUL9	NP_060263.2;
O95707	NP_006618.1;
P78346	NP_001098016.1;NP_006404.1;
P78345	NP_001091059.1;NP_001252530.1;NP_006405.2;NP_892117.1;XP_006717426.1;XP_006717427.1;
O75818	NP_001273061.1;NP_001273062.1;NP_006629.2;
Q96P16	NP_060640.2;XP_005258350.1;XP_005258351.1;
Q9NQG5	NP_067038.1;
Q5VT52	NP_001284602.1;NP_001284603.1;NP_056018.2;
Q8N4K4	NP_981945.1;
Q9NS64	NP_062819.1;
Q6XPR3	NP_001116437.1;
Q8N122	NP_001156506.1;NP_065812.1;
Q7L523	NP_006561.1;
Q5VZM2	NP_006055.3;NP_057740.2;
Q9HB90	NP_001258780.1;NP_071440.1;
Q9NQL2	NP_067067.1;
P62070	NP_001096139.1;NP_001170785.1;NP_001170786.1;NP_036382.2;
P10301	NP_006261.1;
Q9P2E9	NP_001036041.1;NP_004578.2;
Q92766	NP_001003698.1;NP_001003699.1;NP_001003700.1;NP_001161816.1;XP_005249329.1;XP_005249332.1;XP_005249333.1;XP_006715219.1;XP_006715220.1;XP_006715221.1;XP_006715222.1;XP_006715223.1;XP_006715224.1;
Q969S9	NP_001268231.1;NP_115756.2;NP_733781.1;NP_733792.1;
Q96E11	NP_001166983.1;NP_620132.1;NP_954646.1;
Q9NYV6	NP_060897.3;
Q96FB5	NP_001136032.1;NP_057081.3;
Q5JTH9	NP_001138586.1;NP_001271266.1;NP_055994.2;
Q9Y3B9	NP_057136.2;
Q14684	NP_055871.1;
P56182	NP_003674.1;
Q96EU6	NP_149103.1;
Q9Y2L1	NP_001121698.1;NP_055768.3;
Q14690	NP_055791.1;
Q9Y3A4	NP_056518.2;
Q9NSQ0	
O43159	NP_056139.1;
Q15050	NP_055984.1;
Q9NQ39	
P46783	NP_001005.1;NP_001190174.1;NP_001191020.1;
P62280	NP_001006.1;
P25398	NP_001007.2;
P62277	NP_001008.1;
P62263	NP_001020241.1;NP_001020242.1;NP_005608.1;
P62244	NP_001010.2;NP_001025180.1;
P62841	NP_001009.1;
P62249	NP_001011.1;
P0CW22	NP_001012.1;
P08708	NP_001012.1;
P62269	NP_072045.1;
P39019	NP_001013.1;
P60866	NP_001014.1;NP_001139699.1;
P63220	NP_001015.1;
P62266	NP_001016.1;
P62847	NP_001017.1;NP_001135755.1;NP_001135757.1;NP_148982.1;
P62851	NP_001019.1;
Q5JNZ5	
P62854	NP_001020.2;XP_005276741.1;
P62979	NP_001129064.1;NP_001170884.1;NP_002945.1;
Q71UM5	NP_057004.1;
P42677	NP_001021.1;
P62857	NP_001022.1;
P62273	NP_001023.1;NP_001025172.1;
P15880	NP_002943.2;
P62861	
P61247	NP_000997.1;
P23396	NP_000996.2;NP_001243731.1;NP_001247435.1;NP_001247436.1;
P62701	NP_000998.1;
P22090	NP_000999.1;
Q8TD47	NP_001034656.1;
P46782	NP_001000.2;
P62753	NP_001001.2;
P62081	NP_001002.1;
P62241	NP_001003.1;
P46781	NP_001004.2;XP_005259192.1;XP_005259193.1;XP_005277141.1;XP_005277142.1;XP_005277331.1;XP_005277372.1;XP_005277373.1;XP_005278344.1;XP_005278345.1;XP_006725939.1;XP_006725940.1;XP_006726027.1;XP_006726028.1;XP_006726126.1;XP_006726127.1;XP_006726227.1;XP_006726228.1;XP_006726264.1;XP_006726265.1;
Q9HA92	NP_060816.1;
Q8WXG1	NP_542388.2;
Q5VWQ0	NP_060834.2;
Q6PCB5	NP_940869.2;
Q92681	NP_006502.1;
Q96T23	NP_057662.3;
Q9BU20	NP_112169.2;
Q5TD94	NP_001010892.1;NP_001155136.1;
Q9H0K4	NP_110412.1;
Q92737	NP_006468.1;
Q96S79	NP_201572.1;
Q6T310	NP_996563.1;
Q9BPW5	NP_076429.1;
P14678	NP_003082.1;NP_937859.1;
P63162	NP_003088.1;NP_073716.1;NP_073717.1;NP_073718.1;NP_073719.1;
Q8WYR4	NP_001273435.1;NP_543136.1;
Q86UC2	NP_114130.3;XP_005267210.1;
Q9H1X1	NP_001180270.1;NP_689945.2;
Q2MKA7	NP_001033722.1;NP_001229837.1;NP_001229838.1;NP_001229839.1;XP_006710646.1;
Q6UXX9	NP_001269792.1;NP_848660.3;XP_005250963.1;
Q9BXY4	NP_116173.2;
Q2I0M5	NP_001025042.2;NP_001035096.1;
Q96DX4	NP_588609.1;XP_005256277.1;XP_005256278.1;XP_005256280.1;XP_005256281.1;
Q96IZ7	NP_001258763.1;NP_001258767.1;NP_057709.2;
Q7L4I2	NP_075388.2;
Q9BUV0	NP_064713.3;
P08865	NP_001012321.1;NP_002286.2;
Q15404	NP_036557.1;NP_689937.2;
Q9Y399	NP_057118.1;
P82675	NP_114108.1;
P82932	NP_115865.1;
Q9Y2R9	NP_057055.2;XP_005257481.1;
P82933	NP_872578.1;
P82664	NP_060611.2;
P82912	NP_073750.2;NP_789775.1;XP_005255034.1;
O15235	NP_066930.1;NP_203526.1;NP_203527.1;
O60783	NP_071383.1;
P82914	NP_112570.2;
Q9Y3D3	NP_057149.1;
Q9Y2R5	NP_057053.1;
Q9NVS2	NP_001180272.1;NP_060605.1;XP_006715197.1;
Q9Y676	NP_054765.1;
Q9Y3D5	NP_001284698.1;NP_001284699.1;NP_057151.1;
P82921	NP_061870.1;NP_114107.1;
P82650	NP_064576.1;
Q9Y3D9	NP_057154.2;
Q96EL2	NP_114403.1;
P82663	NP_071942.1;
Q9BYN8	NP_110438.1;
Q92552	NP_001273677.1;NP_055899.2;
Q9Y2Q9	NP_054737.1;
