INTERACTOR1	INTERACTION_TYPE	INTERACTOR2	PMID
NBS1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CTIP*	11850621;11877377;12202749;12607003;14726013;15385537;15459660;15703371;15964794;16163361;16449207;16697054;17088286;17116323;17303408;17965729;18087292;18171670;18171986;18398454;18524993;18558713;18584027;18809224;19202191;19208614;19362533;19364882;19490890;196269035;19654615;19772495;19793801;19847258;19892829;20021983;20029420;20064462;20603072;20691907;20723763;21060331;21270334;21337561;21376743;22055391;22469522;22657828;22713970;22743550;22921416;23082994;23145148;23161013;23253856;23562323;23568489;23847781;24036544;24050180;24210699;9721205
WRN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	Ku80*	12202749;15385537;15703371;16449207;16697054;17088286;17116323;17303082;17965729;18398454;18524993;18558713;18584027;18809224;19346677;19473888;19490890;19772495;19808869;19847258;20064462;20691907;21175350;21300785;21376743;22657828;22743550;23082994;23161013;23253856;24036544;24050180
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFC2	15526035;16200211;16218961;17344420;20025615;20816094
COX8*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	COX6A*	11389896;15119951;19625251
SNAI1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SIN3A	14673164;17018611;22514743;22796940
LEF_TCF*	INHIBITION	CyclinD*	16039586;17143292;17666529;18974774;19619488;19623618;21285352;22290435;22761862;23343194
p70_alpha_*	CATALYSIS	RAC1	11108711;12713446;15905173;16286006;17052453;17053147;18423201;19339977;19720745;20647036;20832730;21233202
G_gamma_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	p110_beta__gamma_*	11955434;12297047;16847462;17430994;21640127;21736902
SNAI2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PHYSICAL_STIMULATION	SIN3A	14673164;17018611;17508028;17550342;22370643;22514743;22796940
COX7C	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	COX6A*	11389896;15119951;19625251
MyosinLC*	UNKNOWN_TRANSITION	MYL6B	N/A
E-Cadherin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	TGFBR*	16039586;16099633;17143292;19029934;19171760;19619488;19734908;22007144;22203675;23343194
CDK2	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	APC5*	15279786;17303408;17660363;18590585;7575488
CDC20	TRIGGER	SCC1*	15279786;17303408;17660363;18590585;7575488
BAF*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BRG1*	17666529;21358755;22290435;22761862
PPARGC1A	CATALYSIS	PPARGC1B	18046414
GZMA	CATALYSIS	cleaved~NDUFS3*	18485875
E2F3_alone	POSITIVE_INFLUENCE	CyclinB1*	15510213
ANP32A	CATALYSIS	Cytochrome_C*	11864614;12522243;14622304;15087373;17377525;18439902
GLI3-190*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CDK8	11001584;15337521;17000779;17565603;21327159;21330129
MT-CO1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	COX4I2	N/A
NFKB1	CATALYSIS	BECN1	19289499
SIN3B	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EED	15536069
BRCA1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XRCC2	10858305;10931916;11571269;11877377;12947387;15220350;15459660;15590677;15650050;16697054;18660752;18931676;19473888;19525936;19622404;19686080;19759212;19772495;19793801;19847258;20029420;20081207;20376879;20723763;20813759;21060331;21337561;22505525;22751496;23444773
ERK*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	DUSP6	15547943;17052211;19541618;19565474
p21CIP1*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CDK2	10385618;10498883;12836612;15558010;15798220;16123593;9736735
BAF45A*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BRG1*	17666529;21358755;22290435;22761862
BRCA1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XRCC3	10858305;10931916;11571269;11877377;12947387;15220350;15459660;15590677;15650050;16697054;18660752;18931676;19473888;19525936;19622404;19686080;19759212;19772495;19793801;19847258;20029420;20081207;20376879;20723763;20813759;21060331;21337561;22505525;22751496;23444773
MIR200B	UNKNOWN_INHIBITION	MMP1	10048576;19208835;20592490;21081489
MMP14*	CATALYSIS	Truncated Laminin5*	N/A
NDUFAB1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFA4	N/A
AXIN*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PR65_A*	10995457;16039586;16680151;17143292;18039929;18042541;18588945;19366350;19556239;19619488;20006983;23343194;7641885
DLD	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	DLAT	N/A
FAAP24*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FAAP20*	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
_beta_TRCP*	CATALYSIS	SUFU	12820959;15071497;15340381;15688063;16371461;16611981;16651270;17053147;18813803;19797085
BRCA2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCJ*	11877377;11900249;12648680;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18082604;18082605;18677104;18931676;19075014;19217432;19264559;19622404;19686080;19772495;19793801;19809470;19847258;20029420;20173781;20723763;21060331;21337561;22101340;22505525;22751496;23444773
POLA*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CDC6	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
ATP5J	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ATP5J2	11744738;12110673
TMEM70	CATALYSIS	ATP5F1	11410595;14701807;14757859;18953340
APC10*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC1*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
MT-CO2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	COX4I2	N/A
p38*	CATALYSIS	NFAT*	10747897;11274345;12697810;15649893;16648474;17255949
E2F1	UNKNOWN_CATALYSIS	Caspase3*	12389032
STK11	CATALYSIS	PRKAA*	15509864;19197243;20160076;8910387
MT-CO3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	COX4I2	N/A
Reptin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	YL1*	17320397
promoter_region	INHIBITION	WNT11	11001584;12435627;15087129;16054035;16169709;16396903;16406505;16413481;16880536;17000779;19032343;19114989;19809516;20107231;20562908;21234400;9216996
Plasmin*	CATALYSIS	Truncated Fibronectin*	N/A
RPA3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	CDT1	10882098;11877377;11900249;12185086;12648680;12766152;12875843;12909626;15279786;15459660;15703371;15798197;16697054;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19282663;19622404;19793801;19809470;19847258;21406556;21527023;7575488
RPA2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	CDT1	10882098;11877377;11900249;12185086;12648680;12766152;12875843;12909626;15279786;15459660;15703371;15798197;16697054;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19282663;19622404;19793801;19809470;19847258;21406556;21527023;7575488
RPA1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	CDT1	10882098;11877377;11900249;12185086;12648680;12766152;12875843;12909626;15279786;15459660;15703371;15798197;16697054;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19282663;19622404;19793801;19809470;19847258;21406556;21527023;7575488
MyosinII*	UNKNOWN_TRANSITION	MYH11	N/A
cleaved~Caspase3*	CATALYSIS	NDUFA6	15186778
RGS3	CATALYSIS	G_alpha_*	10999941;12011974;12534294;20628572
MTOR	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PROTOR*	10722653;11274345;12408816;17461779;17680028;18000759;18481918;18570873;18925875;19027299;19143635;19151919;19446321;19568798;19706736;19720745;20027184;20338997;21157483;21474067
CDK1	CATALYSIS	APC11*	12124778;15279786;15917306;17303408;17660363;18590585;19652693;7575488
CDK2	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	APC11*	15279786;17303408;17660363;18590585;7575488
NFKB1	CATALYSIS	G0S2	19706769
E2F6	POSITIVE_INFLUENCE	BRD7	16792505
VANGL*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PAR6*	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
p27KIP1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	CRM1*	12529437;18636226;19887899
ERCC1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XPG*	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
GRB2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SOS*	10514377;10648629;11023813;11274345;11313945;11447289;11777939;11940581;11997436;12040186;12479806;12738796;12782630;14585353;14724641;15173823;15534002;15547943;15567848;15574420;15584861;16227978;16488589;16847462;17178906;17496910;17613518;17635922;17673906;18000759;18039929;18855897;19151919;19289794;19541618;19565474;19568798;19615955;21102635;21614932;6321473;8929532;9779982
MIR204	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	FZD1	22833265
ER_alpha_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ERE	11030334;11274345;11402342;15657064;16396959;16998587;22275375
FANCD2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BRCA2	10858305;10931916;11571269;11850621;11877377;11900249;11927554;12239151;12551922;12607003;12648680;12947387;14726013;15220350;15459660;15590677;15650050;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17884153;18082604;18082605;18085520;18087292;18584027;18660752;18677104;18809224;18931676;19075014;19217432;19264559;19473888;19525936;19622404;19686080;19759212;19772495;19793801;19809470;19847258;20029420;20081207;20173781;20376879;20723763;20813759;21060331;21337561;21376743;21574959;22101340;22505525;22743550;22751496;23444773;24050180;9488723
BLM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCG	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
BLM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCF	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
BLM	CATALYSIS	FANCI	12535671;12972610;16697054;18550849;18931676;19282663;19622404;19686080;19772495;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
E2F2_alone	POSITIVE_INFLUENCE	CDCA4	16984923
DVL*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RBX1	12820959;15340381;15688063;16547521;17312394;20006983
FANCM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BLM	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
BLM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCL	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
Actin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	DMAP1	17320397
BLM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCA	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
LIN7C	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CRB3	10102271;10871881;11927608;16129888;17486063;18005931;18177979;2288140;22881460;2344615;9753323;9753324;9822620
BLM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCC	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
SMAD3	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	SARA*	10678166;11013220;11133108;11278410;11792802;12154066;12717440;12724770;14557817;15548370;16474430;17934056;19010789;19050695;19920116;20519943;21900405;22710166;9311995;9865696
BLM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCB	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
BLM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCE	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
SMAD2	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	SARA*	10678166;10934479;11074002;11133108;11278410;11792802;14557817;15548370;16474430;17934056;19010789;19920116;20519943;21900405;9311995;9670020;9865696
AP2_sigma_*	PHYSICAL_STIMULATION	RACK1*	18953287;19910923;20947020;21397842
APC12*	TRIGGER	Separin*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
HBXIP	UNKNOWN_INHIBITION	Caspase9*	10329646;12773388;15210107
MTOR	CATALYSIS	ATG13	11274345;12150925;12408816;15755954;17680028;18000759;19151919;19225151;19446321;19568798;19706736;19864431;21157483
TAB1	CATALYSIS;UNKNOWN_CATALYSIS	TNPO1	11274345;11796223;14741051;15036616;17593948;18235236;18855897;19136967;19608982;2550447
cleaved~Caspase3*	CATALYSIS	cleaved~14-3-3*	12426317;12657644;15071501
_beta_-Arrestin2*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RACK1*	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19577357;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21262816;2126816;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
_beta_-Catenin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PHYSICAL_STIMULATION	E-Cadherin*	10931041;11136230;11226259;14704854;14747478;15240885;15265686;15618519;16039586;16099633;16443747;16547521;16965538;17127310;17143292;17430994;17569865;17884187;18077588;18497258;19020754;19029934;19072724;19171760;19366350;19561074;19565474;19581931;19619488;19705439;19718039;19734908;19853559;20006983;20059949;20093472;20229235;20460648;20627573;20843316;20940130;210606194;21087212;21304492;21498506;21602792;21606194;21640127;21727895;21796133;21829496;21909076;22007144;22017973;22203675;22370635;22433869;22558232;22659456;23343194;52226983;7641885;8655584
RTK*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MAP3K10_11*	11274345;11777939;12040186;12738796;14585353;15574420;17496910;18000759;18855897;19151919;19568798;21614932
PARP1	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	WRN	10858306;11163244;11948190;12032095;12202749;12637553;14726013;15385537;15385968;15703371;16442856;16449207;16697054;17088286;17116323;17638872;17965729;18398454;18524993;18558713;18584027;18809224;19208614;19364882;19490890;19546231;19748837;19847258;20064462;20211143;20227374;20510258;20603072;20691907;21251944;21270334;21376743;22055391;22469522;22657828;22713970;22743550;22921416;22973052;23082994;23145148;23161013;23253856;23562323;23568489;24036544;24050180;24210699;8264637;8978692
SMAD2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MIZ1*	11013220;11074002;11283614;9389648;9670020
MTOR	CATALYSIS;COMPLEX_EXPANSION;DISSOCIATION;HETERODIMER_ASSOCIATION	p70_alpha_*	11108711;12150925;12408816;12713446;12844354;12867079;15755954;15905173;16286006;16679021;17052453;17053147;17368478;17680028;18391071;18423201;19339977;19568798;19597330;19720745;19864431;20647036;20832730;20932932;21157483;21177869;21233202
EIF3*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RPS6	12150925;12408816;12844354;12867079;15755954;15905173;16286006;16679021;17368478;17680028;18391071;19339977;19568798;19597330;19864431;20647036;21157483;21177869;21233202
SMAD3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MIZ1*	11013220;11074002;11283614;9389648;9670020
SMAD4	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MIZ1*	11013220;11074002;11283614;9389648;9670020
RSPO3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	DAAM1	11226259;11779461;14704854;14747478;15265686;15618519;17127310;17884187;18256687;18497258;18851840;19020754;19366350;19565474;19853559;20006983;20351293;22017973;7641885;8655584
WNT*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CTHRC1	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
PARP1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CTIP*	11850621;11877377;12607003;14726013;15459660;15703371;16697054;17088286;17965729;18087292;18171670;18171986;18584027;18809224;19202191;19208614;19364882;196269035;19772495;19793801;19847258;20021983;20029420;20603072;20723763;21060331;21270334;21337561;21376743;22055391;22469522;22713970;22743550;22921416;23145148;23562323;23568489;24050180;24210699;9721205
CTIP*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PARP2	11850621;11877377;12607003;14726013;15459660;15703371;16697054;17088286;17965729;18087292;18171670;18171986;18584027;18809224;19202191;19208614;19364882;196269035;19772495;19793801;19847258;20021983;20029420;20603072;20723763;21060331;21270334;21337561;21376743;22055391;22469522;22713970;22743550;22921416;23145148;23562323;23568489;24050180;24210699;9721205
MST1	CATALYSIS	FOXO3	12040186;20028971
p53*	UNKNOWN_INHIBITION	MCL1	11160159;18208354;19808698
_beta_-Catenin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN7*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
p400*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EPC1	17320397
CRM1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	FOXO4	10217147;11313479;12391153;12529437;18636226
AKT1	CATALYSIS	GSK3_beta_*	10385618;10722653;10949026;11715018;11756412;11923280;12459251;15169778;15808505;16697215;17052453;17680028;18372248;18570873;18636226;20138985;20214616;20398329;20832730;7945242;8524413;9812896
_beta_-Catenin*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	TCF4	11274345;11929833;15576399;15766563;15768032;15806138;16007074;16039586;16169192;16510874;17050667;17143292;17291450;17439715;18347071;18627596;19619488;19623618;20006983;20122174;20530697;20920541;21285352;21767405;22290435;22699938;22705350;22761862;23306204;23343194;8545107
E1*	CATALYSIS	FBW5*	12820959;15340381;18381890;18997815;19352404
EGLN1	STATE_TRANSITION	PHD*	N/A
CDK3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	CyclinC*	N/A
ATM	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;MODULATION	H2AFX	11571274;11850621;11877377;11927554;12239151;12551922;12556884;12607003;14726013;15279786;15459660;15703371;15964794;16163361;16332722;16531125;16697054;16858402;17303408;17660363;18006705;18082604;18082605;18085520;18087292;18583988;18584027;18590585;18678890;18809224;18931676;19075014;19151707;19217432;19264559;19622404;19686080;19772495;19793801;19847258;20029420;20723763;21060331;21337561;21376743;21574959;22101340;22743550;22751496;23444773;23847781;24050180;7575488;9407949;9488723
FOXO1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	CRM1*	11980723;12529437;14664696;15668399;18636226
FOXO*	CATALYSIS	p27KIP1*	10783894
PP2A*	CATALYSIS	RB1	10921877;12370081;16885030;16916641;19890961;21159657;21376459
E2F4	NEGATIVE_INFLUENCE	PLK1	15510213
SOS*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MAP3K10_11*	11274345;11777939;12040186;12738796;14585353;15574420;17496910;18000759;18855897;19151919;19568798;21614932
E-Cadherin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RSPO1-4*	14704854;14747478;15265686;16443747;17127310;17143292;17430994;17884187;19020754;19029934;19072724;21640127;21727895;21829496;21909076;22007144;22017973;22433869;7641885;8655584
XRCC1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	POLK	11900249;12648680;12930902;14726013;15189466;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17652783;17884153;18087292;18196958;18584027;18677104;18809224;19258535;19772495;19793801;19809470;19847258;20211143;20227374;20478261;21282463;21376743;22743550;24050180;8264637;8978692
CyclinD*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	MIR20A	18695042
RAD6*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SKP*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
MIRLET7A*	INHIBITION	MYC	17942906;9804616
CyclinH*	CATALYSIS	CDK4_6*	11900249;12648680;15703371;16697054;17386261;17884153;19667075;19809470;19847258;7533895
SYN4*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	WGEF*	11226259;11779461;14704854;14747478;15265686;15618519;17127310;17884187;18256687;18497258;18851840;19020754;19366350;19565474;19853559;20006983;20351293;22017973;7641885;8655584
NFE2L2	CATALYSIS	PRDX1	10821856
XIAP	CATALYSIS	HDAC1_2*	22304967
ERCC1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	XPF*	11900249;12648680;12947387;15459660;15703371;16612326;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18157157;18406444;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;20478261;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
RPTOR	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PPARGC1A	18046414
cleaved~Caspase3*	CATALYSIS	NDUFB2	15186778
BMI1	INHIBITION	INK4*	11283613;17936558;21383063;21678481;21685941;9308237
HB-EGF*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	HER2*	16525676;18372913
DVL*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	Iversin*	15852005;20006983
FBXO45	CATALYSIS	p73*	19581926
Rac1_GAPs*	UNKNOWN_TRANSITION	CHN2	N/A
CTBP1_2*	INHIBITION	E-Cadherin*	11309385;12508111;14673164;15169839;17508028;17615296;19597490;20519943;20818389;21685935;22370643;22796940
GSK3*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SKP*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
SKP2	CATALYSIS	WEE1	11900249;12648680;15459660;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
CDK7	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XPA	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
MTOR	COMPLEX_EXPANSION;DISSOCIATION;HETERODIMER_ASSOCIATION;INHIBITION	DEPTOR	11274345;12150925;12408816;15755954;17461779;17680028;18000759;19143635;19151919;19446321;19568798;19706736;19864431;21157483
E2F6	NEGATIVE_INFLUENCE	PCNA	15574595
CUL4*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CDT2*	11278750;12820959;15340381;15688063;18381890;19440234
CyclinH*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XPA	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
ATP5F1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ATP5J2	11744738;12110673
MAP3K2_3*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RIPK1	11274345;12738796;18855897;21614932
p70_alpha_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	M7GTP*	11108711;12150925;12408816;12709531;15314020;15755954;16286006;17368478;17680028;18391071;19339977;19568798;19597330;19864431;20647036;21157483
CDK1	CATALYSIS	RB1	15279786;17303408;17660363;18590585;7575488
MIR34A	HETERODIMER_ASSOCIATION	WNT3	22045851
MLXIP	CATALYSIS	TKT	16782875
