"Resource Name","Categories","License Name","License Full Name","License URL","Maintenance","Records","Articles","Webpages","PubMeds","Contacts","Status","Notes"
"CancerCellMap","Interactions","CC BY 2.5","Creative Commons Attribution 2.5 International","https://creativecommons.org/licenses/by/2.5/","No Updates","3268","","http://www.pathwaycommons.org/archives/PC1/last_release-2011/tab_delim_network/by_source/; http://web.archive.org/web/20130729025707/http://cancer.cellmap.org/cellmap/home.do","","Gary Bader (gary.bader@utoronto.ca)","",""
"CA1","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","3130","http://www.sciencemag.org/content/309/5737/1078.full","","16099987","Ravi Iyengar (ravi.iyengar@mssm.edu)","",""
"KEGG-PC","Annotations","PathwayCommons","PathwayCommons License","http://www.pathwaycommons.org/#faq-2","Frequent Updates","2927","","","","","",""
"ncRDeathDB","Interactions","CC BY-NC 4.0","Creative Commons Attribution-NonCommercial 4.0 International","https://creativecommons.org/licenses/by-nc/4.0/","No Updates","2905","","","","","",""
"CancerSEA","Annotations","CC BY-NC 4.0","Creative Commons Attribution-NonCommercial 4.0 International","https://creativecommons.org/licenses/by-nc/4.0/","Infrequent Updates","2760","","","","","",""
"Kinexus","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","2719","","","","","",""
"ELM","Interactions","ELM","ELM Software License Agreement","http://elm.eu.org/media/Elm_academic_license.pdf","Frequent Updates","2609","http://nar.oxfordjournals.org/content/40/D1/D242.long; http://nar.oxfordjournals.org/content/42/D1/D259.long; http://nar.oxfordjournals.org/content/44/D1/D294.long","http://elm.eu.org/","22110040; 24214962; 26615199","ELM Team (feedback@elm.eu.org); Toby Gibson (gibson@embl.de)","",""
"TFcensus","Annotations","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","2430","","","","","",""
"GOA","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","Frequent Updates","2417","","","","","",""
"CPAD","Annotations","No license","No license","http://www.gnu.org/licenses/license-list.html#NoLicense","No Updates","2350","","","","","",""
"LMPID","Interactions","CC BY-NC 2.0","Creative Commons Attribution-NonCommercial 2.0 International","https://creativecommons.org/licenses/by-nc/2.0/","No Updates","2223","http://database.oxfordjournals.org/content/2015/bav014.long","http://bicresources.jcbose.ac.in/ssaha4/lmpid/index.php","25776024","Sudipto Saha (ssaha4@jcbose.ac.in)","",""
"ComplexPortal","Complexes","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","Frequent Updates","2210","","","","","",""
"DLRP","Interactions","Unspecified NC-SA","Unspecified Non-commercial Redistributable","","Infrequent Updates","2151","","","","","",""
"ORegAnno","Interactions","LGPLv3","GNU Lesser General Public License version 3","https://www.gnu.org/licenses/lgpl-3.0.en.html","No Updates","2110","https://academic.oup.com/nar/article/44/D1/D126/2502683","http://www.oreganno.org/","26578589","Obi L. Griffith (ogriffit@genome.wustl.edu)","",""
"Zhong2015","Annotations; Intercellular","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","2060","","","","","",""
"Li2012","Interactions; Enzyme-Substrate","CC BY-NC 3.0","Creative Commons Attribution-NonCommercial 3.0 International","https://creativecommons.org/licenses/by-nc/3.0/","No Updates","2049","","","","","",""
"CellChatDB-cofactors","Interactions","GPLv3","GNU General Public License version 3","https://www.gnu.org/licenses/gpl-3.0.html","Frequent Updates","1787","","","","","",""
"TFe","Interactions","CC BY-SA 3.0","Creative Commons Attribution-ShareAlike 3.0 International","https://creativecommons.org/licenses/by-sa/3.0/","No Updates","1577","","","","","",""
"Kirouac2010","Interactions; Annotations; Intercellular","CC BY-NC-ND 3.0","Creative Commons Attribution-NonCommercial-NoDerivs 3.0 International","https://creativecommons.org/licenses/by-nc-nd/3.0/","No Updates","1289","","","","","",""
"Wojtowicz2020","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","1182","","","","","",""
"miRecords","Interactions","miRecords","miRecords License","http://c1.accurascience.com/miRecords/copyright.php","No Updates","1120","","","","","",""
"FANTOM4","Interactions","Commercial","","","No Updates","1083","","","","","",""
"ENCODE","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","Infrequent Updates","1031","","","22955616","","",""
"MPPI","Interactions","MPPI","MPPI License","http://mips.helmholtz-muenchen.de/proj/ppi/","No Updates","1020","http://bioinformatics.oxfordjournals.org/content/21/6/832","http://mips.helmholtz-muenchen.de/proj/ppi/","15531608","Philipp Pagel (p.pagel@wzw.tum.de); Dmitrij Frishman (d.frishman@helmholtz-muenchen.de)","",""
"kinase.com","Annotations","Kinase.com","Kinase.com License","http://kinase.com/about/Disclaimer.html","No Updates","920","","","","","",""
"CellTypist","Annotations","CC BY 3.0","Creative Commons Attribution 3.0 International","https://creativecommons.org/licenses/by/3.0/","Frequent Updates","880","","","","","",""
"IntOGen","Annotations","CC0 1.0","Creative Commons Zero 1.0 Universal","https://creativecommons.org/publicdomain/zero/1.0/legalcode","Frequent Updates","835","","","","","",""
"CancerGeneCensus","Annotations","COSMIC","COSMIC License","https://cancer.sanger.ac.uk/cosmic/license","Frequent Updates","763","","","","","",""
"DoRothEA-reviews","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","738","","","","","",""
"CFinder","Complexes","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","Infrequent Updates","713","","","","","",""
"TCRcuration","Interactions","CC BY-SA 3.0","Creative Commons Attribution-ShareAlike 3.0 International","https://creativecommons.org/licenses/by-sa/3.0/","Infrequent Updates","661","","","","","",""
"TRRD","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","637","","","","","",""
"Havugimana2012","Complexes","Commercial","","","No Updates","622","","","","","",""
"TRIP","Interactions","CC BY-NC-SA 3.0","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 International","https://creativecommons.org/licenses/by-nc-sa/3.0/","No Updates","454","http://www.plosone.org/article/info:doi/10.1371/journal.pone.0047165; http://nar.oxfordjournals.org/content/39/suppl_1/D356.full; http://link.springer.com/article/10.1007%2Fs00424-013-1292-2","http://www.trpchannel.org","20851834; 23071747; 23677537","Ju-Hong Jeon (jhjeon2@snu.ac.kr)","",""
"miR2Disease","Interactions","Academic/Non-profit","","","No Updates","360","","","","","",""
"miRDeathDB","Interactions","Academic/Non-profit","","","No Updates","331","","","","","",""
"NRF2ome","Interactions","CC BY-SA 3.0","Creative Commons Attribution-ShareAlike 3.0 International","https://creativecommons.org/licenses/by-sa/3.0/","No Updates","318","http://www.hindawi.com/journals/omcl/2013/737591/; http://www.sciencedirect.com/science/article/pii/S0014579312003912","http://nrf2.elte.hu/","22641035; 23710289","Tamas Korcsmaros (korcsmaros@gmail.com); Tamas Korcsmaros (tamas.korcsmaros@tgac.ac.uk)","",""
"MCAM","Annotations; Intercellular","Unspecified NC-SA","Unspecified Non-commercial Redistributable","","No Updates","299","","","","","",""
"ARN","Interactions","CC BY-SA 3.0","Creative Commons Attribution-ShareAlike 3.0 International","https://creativecommons.org/licenses/by-sa/3.0/","Infrequent Updates","295","http://www.tandfonline.com/doi/full/10.4161/15548627.2014.994346","http://autophagyregulation.org/","25635527","Tamas Korcsmaros (korcsmaros@gmail.com); Tamas Korcsmaros (tamas.korcsmaros@tgac.ac.uk)","",""
"Phosphatome","Annotations","Commercial","","","No Updates","264","","","","","",""
"PDZBase","Interactions","Unspecified NC-SA","Unspecified Non-commercial Redistributable","","No Updates","254","http://bioinformatics.oxfordjournals.org/content/21/6/827.long","http://abc.med.cornell.edu/pdzbase","15513994","Harel Weinstein (haw2002@med.cornell.edu); PDZBase Team (pdzbase@med.cornell.edu)","",""
"Integrins","Annotations; Intercellular","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","203","","","","","",""
"AlzPathway","Interactions","CC BY 3.0","Creative Commons Attribution 3.0 International","https://creativecommons.org/licenses/by/3.0/","Infrequent Updates","193","http://www.biomedcentral.com/1752-0509/6/52; http://onlinelibrary.wiley.com/doi/10.1038/clpt.2013.37/epdf; http://link.springer.com/protocol/10.1007%2F978-1-4939-2627-5_25","http://alzpathway.org/AlzPathway.html","23511713; 22647208","Soichi Ogishima (ogishima@sysmedbio.org); Soichi Ogishima (info@alzpathway.org)","",""
"OPM","Annotations; Intercellular","Apache 2.0","Apache License, version 2.0","http://www.apache.org/licenses/LICENSE-2.0","Infrequent Updates","181","","","","","",""
"DeathDomain","Interactions","NAR Open Access","Nucleic Acids Research Open Access","","Frequent Updates","118","http://nar.oxfordjournals.org/content/40/D1/D331","http://deathdomain.org/","22135292","Hyun Ho Park (hyunho@ynu.ac.kr)","",""
"NFIRegulomeDB","Interactions","LGPLv3","GNU Lesser General Public License version 3","https://www.gnu.org/licenses/lgpl-3.0.en.html","No Updates","107","","","","","",""
"lncrnadb","Interactions","NAR Open Access","Nucleic Acids Research Open Access","","No Updates","58","","","","","",""
"LncRNADisease","Interactions","Academic/Non-profit","","","Infrequent Updates","54","","","","","",""
"cellsignal.com","Interactions","No license","No license","http://www.gnu.org/licenses/license-list.html#NoLicense","Infrequent Updates","51","","","","","",""
