Index,PMID,Gut Microbiota,Gut Microbiota NCBI ID,Rank,Strain,Gene,Gene ID,Alteration,high/low-throughput,Associative mode,human/mouse,Sample,Experimental method,Measurement?technique,Description,Condition,DOID
38,19166300,Enterococcus faecalis,1351,species,OG1RF,PDCD6IP,10015,inhibition,low-throughput,causally,human,"intestinal epithelial cells,fecal,Mode-K cells","in vitro bacterial culture,cell culture","qPCR,ELISA,Western blot assay","In summary, our results clearly demonstrate that different E. faecalis strains differentially induce colitis in monoassociated IL-10-/- mice and that severe E. faecalis-induced colitis resulted in decreased Alix/AIP1 protein expression as well as ERK1/2 phosphorylation. Functional studies revealed no effect of Alix/AIP1 on bacteria- and EGF-mediated effects on the epithelium. The 13 differentially regulated proteins might be ofinterest aspotentialmarkers for severeintestinalinflammation.",healthy,
38,19166300,Enterococcus faecalis,1351,species,OG1RF,Mapk3,26417,inhibition,low-throughput,causally,mouse,"intestinal epithelial cells,fecal,Mode-K cells","in vitro bacterial culture,cell culture","qPCR,ELISA,Western blot assay","In summary, our results clearly demonstrate that different E. faecalis strains differentially induce colitis in monoassociated IL-10-/- mice and that severe E. faecalis-induced colitis resulted in decreased Alix/AIP1 protein expression as well as ERK1/2 phosphorylation. Functional studies revealed no effect of Alix/AIP1 on bacteria- and EGF-mediated effects on the epithelium. The 13 differentially regulated proteins might be ofinterest aspotentialmarkers for severeintestinalinflammation.",healthy,
38,19166300,Enterococcus faecalis,1351,species,OG1RF,Mapk1,26413,inhibition,low-throughput,causally,mouse,"intestinal epithelial cells,fecal,Mode-K cells","in vitro bacterial culture,cell culture","qPCR,ELISA,Western blot assay","In summary, our results clearly demonstrate that different E. faecalis strains differentially induce colitis in monoassociated IL-10-/- mice and that severe E. faecalis-induced colitis resulted in decreased Alix/AIP1 protein expression as well as ERK1/2 phosphorylation. Functional studies revealed no effect of Alix/AIP1 on bacteria- and EGF-mediated effects on the epithelium. The 13 differentially regulated proteins might be ofinterest aspotentialmarkers for severeintestinalinflammation.",healthy,
38,19166300,Enterococcus faecalis,1351,species,ms2,Pdcd6ip,18571,inhibition,low-throughput,causally,mouse,"intestinal epithelial cells,fecal,Mode-K cells","in vitro bacterial culture,cell culture","qPCR,ELISA,Western blot assay","In summary, our results clearly demonstrate that different E. faecalis strains differentially induce colitis in monoassociated IL-10-/- mice and that severe E. faecalis-induced colitis resulted in decreased Alix/AIP1 protein expression as well as ERK1/2 phosphorylation. Functional studies revealed no effect of Alix/AIP1 on bacteria- and EGF-mediated effects on the epithelium. The 13 differentially regulated proteins might be ofinterest aspotentialmarkers for severeintestinalinflammation.",healthy,
39,23828891,Bacteroides fragilis,817,species,,FFAR2,2867,activation,low-throughput,causally,human,colon,cell culture,,"Regulatory T cells (Tregs) that express the transcription factor Foxp3 are critical for regulating intestinal inflammation. Candidate microbe approaches have identified bacterial species and strain-specific molecules that can affect intestinal immune responses, including species that modulate Treg responses. Because neither all humans nor mice harbor the same bacterial strains, we posited that more prevalent factors exist that regulate the number and function of colonic Tregs. We determined that short chain fatty acids (SCFA), gut microbiota-derived bacterial fermentation products, regulate the size and function of the colonic Treg pool and protect against colitis in a Ffar2(GPR43)-dependent manner in mice. Our study reveals that a class of abundant microbial metabolites underlies adaptive immune microbiota co-adaptation and promotes colonic homeostasis and health.",healthy,
39,23828891,Bacteroides fragilis,817,species,,FOXP3,50943,activation,low-throughput,causally,human,colon,cell culture,,"Regulatory T cells (Tregs) that express the transcription factor Foxp3 are critical for regulating intestinal inflammation. Candidate microbe approaches have identified bacterial species and strain-specific molecules that can affect intestinal immune responses, including species that modulate Treg responses. Because neither all humans nor mice harbor the same bacterial strains, we posited that more prevalent factors exist that regulate the number and function of colonic Tregs. We determined that short chain fatty acids (SCFA), gut microbiota-derived bacterial fermentation products, regulate the size and function of the colonic Treg pool and protect against colitis in a Ffar2(GPR43)-dependent manner in mice. Our study reveals that a class of abundant microbial metabolites underlies adaptive immune microbiota co-adaptation and promotes colonic homeostasis and health.",colitis,DOID:60180
39,23828891,Bacteroides fragilis,817,species,,IL10,3586,activation,low-throughput,causally,human,colon,cell culture,,"Regulatory T cells (Tregs) that express the transcription factor Foxp3 are critical for regulating intestinal inflammation. Candidate microbe approaches have identified bacterial species and strain-specific molecules that can affect intestinal immune responses, including species that modulate Treg responses. Because neither all humans nor mice harbor the same bacterial strains, we posited that more prevalent factors exist that regulate the number and function of colonic Tregs. We determined that short chain fatty acids (SCFA), gut microbiota-derived bacterial fermentation products, regulate the size and function of the colonic Treg pool and protect against colitis in a Ffar2(GPR43)-dependent manner in mice. Our study reveals that a class of abundant microbial metabolites underlies adaptive immune microbiota co-adaptation and promotes colonic homeostasis and health.",colitis,DOID:60180
40,20876719,Faecalibacterium prausnitzii,853,species,,NFKB1,4790,inhibition,low-throughput,causally,human,"fecal,blood",in vitro bacterial culture,RT-qPCR,"F. prausnitzii exhibits anti-inflammatory effects, partly due to secreted metabolites able to block nuclear factor-¦ÊB activation and the secretion of proinflammatory mediators (41). Oral administration of F. prausnitzii or of supernatant from F. prausnitzii cultures increased the production of IL-10 by blood mononuclear cells and reduced the production of the proinflammatory mediator-like IL-12 in the colon.",colitis,DOID:60180
40,20876719,Faecalibacterium prausnitzii,853,species,,IL12A,3592,inhibition,low-throughput,causally,human,"fecal,blood",in vitro bacterial culture,RT-qPCR,"F. prausnitzii exhibits anti-inflammatory effects, partly due to secreted metabolites able to block nuclear factor-¦ÊB activation and the secretion of proinflammatory mediators (41). Oral administration of F. prausnitzii or of supernatant from F. prausnitzii cultures increased the production of IL-10 by blood mononuclear cells and reduced the production of the proinflammatory mediator-like IL-12 in the colon.",colitis,DOID:60180
40,20876719,Faecalibacterium prausnitzii,853,species,,IL10,3586,activation,low-throughput,causally,human,"fecal,blood",in vitro bacterial culture,RT-qPCR,"F. prausnitzii exhibits anti-inflammatory effects, partly due to secreted metabolites able to block nuclear factor-¦ÊB activation and the secretion of proinflammatory mediators (41). Oral administration of F. prausnitzii or of supernatant from F. prausnitzii cultures increased the production of IL-10 by blood mononuclear cells and reduced the production of the proinflammatory mediator-like IL-12 in the colon.",colitis,DOID:60180
40,20876719,Faecalibacterium prausnitzii,853,species,,IL12B,3593,inhibition,low-throughput,causally,human,"fecal,blood",in vitro bacterial culture,RT-qPCR,"F. prausnitzii exhibits anti-inflammatory effects, partly due to secreted metabolites able to block nuclear factor-¦ÊB activation and the secretion of proinflammatory mediators (41). Oral administration of F. prausnitzii or of supernatant from F. prausnitzii cultures increased the production of IL-10 by blood mononuclear cells and reduced the production of the proinflammatory mediator-like IL-12 in the colon.",healthy,
41,36418894,Allobaculum,174708,genus,,Il12b,16160,inhibition,low-throughput,correlatively,mouse,,cell culture,qRT-PCR,"At week 8, Allobaculum negatively correlated with IL-12 (Spearman, p < 0.001, R = ?1), Coriobacteriaceae_uncultured negatively correlated with CXCL1 and IL-6 (p < 0.001, R = ?0.97; p < 0.001, R = ?0.95, respectively) and Defluviitaleaceae_uncultured negatively correlated with IL-1¦Â (Spearman, p < 0.001, R = ?0.95).",healthy,
41,36418894,Coriobacteriaceae,84107,family,,Il6,16193,inhibition,low-throughput,correlatively,mouse,,cell culture,qRT-PCR,"At week 8, Allobaculum negatively correlated with IL-12 (Spearman, p < 0.001, R = ?1), Coriobacteriaceae_uncultured negatively correlated with CXCL1 and IL-6 (p < 0.001, R = ?0.97; p < 0.001, R = ?0.95, respectively) and Defluviitaleaceae_uncultured negatively correlated with IL-1¦Â (Spearman, p < 0.001, R = ?0.95).",healthy,
41,36418894,Coriobacteriaceae,84107,family,,Cxcl1,14825,inhibition,low-throughput,correlatively,mouse,,cell culture,qRT-PCR,"At week 8, Allobaculum negatively correlated with IL-12 (Spearman, p < 0.001, R = ?1), Coriobacteriaceae_uncultured negatively correlated with CXCL1 and IL-6 (p < 0.001, R = ?0.97; p < 0.001, R = ?0.95, respectively) and Defluviitaleaceae_uncultured negatively correlated with IL-1¦Â (Spearman, p < 0.001, R = ?0.95).",type 2 diabetes mellitus,DOID:9352
41,36418894,Defluviitaleaceae,1185407,family,,Il1b,16176,inhibition,low-throughput,correlatively,mouse,,cell culture,qRT-PCR,"At week 8, Allobaculum negatively correlated with IL-12 (Spearman, p < 0.001, R = ?1), Coriobacteriaceae_uncultured negatively correlated with CXCL1 and IL-6 (p < 0.001, R = ?0.97; p < 0.001, R = ?0.95, respectively) and Defluviitaleaceae_uncultured negatively correlated with IL-1¦Â (Spearman, p < 0.001, R = ?0.95).",type 2 diabetes mellitus,DOID:9352
42,25900655,Faecalibacterium prausnitzii,853,species,A2-165,IL1A,3552,inhibition,low-throughput,causally,human,"blood, ileum, cecum, colon,fecal,HT-29 cells","in vivo experiment,in vitro bacterial culture",,"F. prausnitzii modulated the metabolome of the host blood by decreasing IL-1¦Á, IL-2, and IL-5 concentrations.",type 2 diabetes mellitus,DOID:9352
42,25900655,Faecalibacterium prausnitzii,853,species,A2-165,IL2,3558,inhibition,low-throughput,causally,human,"blood, ileum, cecum, colon,fecal,HT-29 cells","in vivo experiment,in vitro bacterial culture",,"F. prausnitzii modulated the metabolome of the host blood by decreasing IL-1¦Á, IL-2, and IL-5 concentrations.",type 2 diabetes mellitus,DOID:9352
42,25900655,Faecalibacterium prausnitzii,853,species,A2-165,IL5,3567,inhibition,low-throughput,causally,human,"blood, ileum, cecum, colon,fecal,HT-29 cells","in vivo experiment,in vitro bacterial culture",,"F. prausnitzii modulated the metabolome of the host blood by decreasing IL-1¦Á, IL-2, and IL-5 concentrations.",,
43,36585238,Alistipes onderdonkii,328813,species,kh33,Il17a,16171,activation,low-throughput,causally,mouse,fecal,in vivo infection experiment,western blot,"Next, we tested whether A. onderdonkii kh33 and P. goldsteinii kh35 could affect the production of the identified cytokines.We found that oral gavage with A. onderdonkii kh33, but not A. indistinctus kh34, increased faecal levels of MIP-1¦Á, MIP-2 and IL-17A/F before surgery.Conversely, oral P. goldsteinii kh35 inhibited the production of those three cytokines as well as MCP-1 levels, both in mice with native gut microbiota and mice that received FMT from AL donors.",,
43,36585238,Parabacteroides goldsteinii,328812,species,kh35,MYD88,4615,inhibition,low-throughput,causally,human,THP-1 monocytic cells,in vitro bacterial culture,western blot,"Previous studies reported that another P. goldsteinii strain, which shares 100% sequence identity of the variable V5¨CV6 region of the 16S rRNA gene with P. goldsteinii 1 in our study, presented anti-inflammatory properties in a murine lung inflammation model. We reasoned that P. goldsteinii kh35 may produce and release anti-inflammatory molecules. Therefore, we prepared cell-free supernatants of P. goldsteinii kh35 cultures grown in RPMI medium and investigated its ability to affect the activation of the MyD88-dependent signalling pathway. Using THP-1 monocytic cells exposed to Escherichia coli lipopolysaccharide, we found that P. goldsteinii kh35 supernatant reduced the expression of MyD88, the activation of the nuclear factor-kappa B (NF-¦ÊB) and subsequent tumour necrosis factor (TNF)-¦Á mRNA expression. In contrast, supernatant from A. onderdonkii kh33 strongly activated NF-¦ÊB in THP-1 cells. These data suggest that mechanistically, P. goldsteinii kh35 improves anastomotic healing through an anti-inflammatory effect by suppressing the MyD88/ NF-¦ÊB signalling pathway.",,
43,36585238,Parabacteroides goldsteinii,328812,species,kh35,NFKB1,4790,inhibition,low-throughput,causally,human,THP-1 monocytic cells,in vitro bacterial culture,western blot,"Previous studies reported that another P. goldsteinii strain, which shares 100% sequence identity of the variable V5¨CV6 region of the 16S rRNA gene with P. goldsteinii 1 in our study, presented anti-inflammatory properties in a murine lung inflammation model. We reasoned that P. goldsteinii kh35 may produce and release anti-inflammatory molecules. Therefore, we prepared cell-free supernatants of P. goldsteinii kh35 cultures grown in RPMI medium and investigated its ability to affect the activation of the MyD88-dependent signalling pathway. Using THP-1 monocytic cells exposed to Escherichia coli lipopolysaccharide, we found that P. goldsteinii kh35 supernatant reduced the expression of MyD88, the activation of the nuclear factor-kappa B (NF-¦ÊB) and subsequent tumour necrosis factor (TNF)-¦Á mRNA expression. In contrast, supernatant from A. onderdonkii kh33 strongly activated NF-¦ÊB in THP-1 cells. These data suggest that mechanistically, P. goldsteinii kh35 improves anastomotic healing through an anti-inflammatory effect by suppressing the MyD88/ NF-¦ÊB signalling pathway.",,
43,36585238,Alistipes onderdonkii,328813,species,kh33,NFKB1,4790,activation,low-throughput,causally,human,THP-1 monocytic cells,in vitro bacterial culture,western blot,"Previous studies reported that another P. goldsteinii strain, which shares 100% sequence identity of the variable V5¨CV6 region of the 16S rRNA gene with P. goldsteinii 1 in our study, presented anti-inflammatory properties in a murine lung inflammation model. We reasoned that P. goldsteinii kh35 may produce and release anti-inflammatory molecules. Therefore, we prepared cell-free supernatants of P. goldsteinii kh35 cultures grown in RPMI medium and investigated its ability to affect the activation of the MyD88-dependent signalling pathway. Using THP-1 monocytic cells exposed to Escherichia coli lipopolysaccharide, we found that P. goldsteinii kh35 supernatant reduced the expression of MyD88, the activation of the nuclear factor-kappa B (NF-¦ÊB) and subsequent tumour necrosis factor (TNF)-¦Á mRNA expression. In contrast, supernatant from A. onderdonkii kh33 strongly activated NF-¦ÊB in THP-1 cells. These data suggest that mechanistically, P. goldsteinii kh35 improves anastomotic healing through an anti-inflammatory effect by suppressing the MyD88/ NF-¦ÊB signalling pathway.",colitis,DOID:60180
43,36585238,Alistipes onderdonkii,328813,species,kh33,Ccl3,20302,activation,low-throughput,causally,mouse,fecal,in vivo infection experiment,western blot,"Next, we tested whether A. onderdonkii kh33 and P. goldsteinii kh35 could affect the production of the identified cytokines.We found that oral gavage with A. onderdonkii kh33, but not A. indistinctus kh34, increased faecal levels of MIP-1¦Á, MIP-2 and IL-17A/F before surgery.Conversely, oral P. goldsteinii kh35 inhibited the production of those three cytokines as well as MCP-1 levels, both in mice with native gut microbiota and mice that received FMT from AL donors.",colitis,DOID:60180
43,36585238,Alistipes onderdonkii,328813,species,kh33,Cxcl2,20310,activation,low-throughput,causally,mouse,fecal,in vivo infection experiment,western blot,"Next, we tested whether A. onderdonkii kh33 and P. goldsteinii kh35 could affect the production of the identified cytokines.We found that oral gavage with A. onderdonkii kh33, but not A. indistinctus kh34, increased faecal levels of MIP-1¦Á, MIP-2 and IL-17A/F before surgery.Conversely, oral P. goldsteinii kh35 inhibited the production of those three cytokines as well as MCP-1 levels, both in mice with native gut microbiota and mice that received FMT from AL donors.",colitis,DOID:60180
43,36585238,Parabacteroides goldsteinii,328812,species,kh35,Ccl2,20296,inhibition,low-throughput,causally,mouse,fecal,in vivo infection experiment,western blot,"Next, we tested whether A. onderdonkii kh33 and P. goldsteinii kh35 could affect the production of the identified cytokines.We found that oral gavage with A. onderdonkii kh33, but not A. indistinctus kh34, increased faecal levels of MIP-1¦Á, MIP-2 and IL-17A/F before surgery.Conversely, oral P. goldsteinii kh35 inhibited the production of those three cytokines as well as MCP-1 levels, both in mice with native gut microbiota and mice that received FMT from AL donors.",,
43,36585238,Parabacteroides goldsteinii,328812,species,kh35,Ccl3,20302,inhibition,low-throughput,causally,mouse,fecal,in vivo infection experiment,western blot,"Next, we tested whether A. onderdonkii kh33 and P. goldsteinii kh35 could affect the production of the identified cytokines.We found that oral gavage with A. onderdonkii kh33, but not A. indistinctus kh34, increased faecal levels of MIP-1¦Á, MIP-2 and IL-17A/F before surgery.Conversely, oral P. goldsteinii kh35 inhibited the production of those three cytokines as well as MCP-1 levels, both in mice with native gut microbiota and mice that received FMT from AL donors.",,
43,36585238,Parabacteroides goldsteinii,328812,species,kh35,Cxcl2,20310,inhibition,low-throughput,causally,mouse,fecal,in vivo infection experiment,western blot,"Next, we tested whether A. onderdonkii kh33 and P. goldsteinii kh35 could affect the production of the identified cytokines.We found that oral gavage with A. onderdonkii kh33, but not A. indistinctus kh34, increased faecal levels of MIP-1¦Á, MIP-2 and IL-17A/F before surgery.Conversely, oral P. goldsteinii kh35 inhibited the production of those three cytokines as well as MCP-1 levels, both in mice with native gut microbiota and mice that received FMT from AL donors.",,
43,36585238,Parabacteroides goldsteinii,328812,species,kh35,TNF,7124,inhibition,low-throughput,causally,human,THP-1 monocytic cells,in vitro bacterial culture,western blot,"Previous studies reported that another P. goldsteinii strain, which shares 100% sequence identity of the variable V5¨CV6 region of the 16S rRNA gene with P. goldsteinii 1 in our study, presented anti-inflammatory properties in a murine lung inflammation model. We reasoned that P. goldsteinii kh35 may produce and release anti-inflammatory molecules. Therefore, we prepared cell-free supernatants of P. goldsteinii kh35 cultures grown in RPMI medium and investigated its ability to affect the activation of the MyD88-dependent signalling pathway. Using THP-1 monocytic cells exposed to Escherichia coli lipopolysaccharide, we found that P. goldsteinii kh35 supernatant reduced the expression of MyD88, the activation of the nuclear factor-kappa B (NF-¦ÊB) and subsequent tumour necrosis factor (TNF)-¦Á mRNA expression. In contrast, supernatant from A. onderdonkii kh33 strongly activated NF-¦ÊB in THP-1 cells. These data suggest that mechanistically, P. goldsteinii kh35 improves anastomotic healing through an anti-inflammatory effect by suppressing the MyD88/ NF-¦ÊB signalling pathway.",,
43,36585238,Parabacteroides goldsteinii,328812,species,kh35,Il17a,16171,inhibition,low-throughput,causally,mouse,fecal,in vivo infection experiment,western blot,"Next, we tested whether A. onderdonkii kh33 and P. goldsteinii kh35 could affect the production of the identified cytokines.We found that oral gavage with A. onderdonkii kh33, but not A. indistinctus kh34, increased faecal levels of MIP-1¦Á, MIP-2 and IL-17A/F before surgery.Conversely, oral P. goldsteinii kh35 inhibited the production of those three cytokines as well as MCP-1 levels, both in mice with native gut microbiota and mice that received FMT from AL donors.",,
44,27102666,Collinsella,102106,genus,,RORA,6095,activation,low-throughput,causally,human,"fecal,Caco-2 cells",cell culture,"16S rRNA sequence,RT-qPCR","Our data demonstrate that a dysbiotic gut microbiota in RA patients, characterized by a decrease in Faecalibacterium and expansion of C. aerofaciens and E. lenta, could trigger inflammatory conditions in the gut that depend on the production of chemokines and IL-17A and compromise the gut epithelium integrity. It is possible that the inflammatory conditions can be modulated by prebiotics or probiotics. The therapeutic potential of the only probiotics, lactobacilli, used as treatment for RA is inconclusive, with some studies in favor of their use while others did not show significant improvement with lactobacilli using the American College of Rheumatology (ACR) response criteria for RA .",,
44,27102666,Collinsella,102106,genus,,CXCL1,2919,activation,low-throughput,causally,human,"fecal,Caco-2 cells",cell culture,"16S rRNA sequence,RT-qPCR","Our data demonstrate that a dysbiotic gut microbiota in RA patients, characterized by a decrease in Faecalibacterium and expansion of C. aerofaciens and E. lenta, could trigger inflammatory conditions in the gut that depend on the production of chemokines and IL-17A and compromise the gut epithelium integrity. It is possible that the inflammatory conditions can be modulated by prebiotics or probiotics. The therapeutic potential of the only probiotics, lactobacilli, used as treatment for RA is inconclusive, with some studies in favor of their use while others did not show significant improvement with lactobacilli using the American College of Rheumatology (ACR) response criteria for RA .",,
44,27102666,Collinsella,102106,genus,,CXCL5,6374,activation,low-throughput,causally,human,"fecal,Caco-2 cells",cell culture,"16S rRNA sequence,RT-qPCR","Our data demonstrate that a dysbiotic gut microbiota in RA patients, characterized by a decrease in Faecalibacterium and expansion of C. aerofaciens and E. lenta, could trigger inflammatory conditions in the gut that depend on the production of chemokines and IL-17A and compromise the gut epithelium integrity. It is possible that the inflammatory conditions can be modulated by prebiotics or probiotics. The therapeutic potential of the only probiotics, lactobacilli, used as treatment for RA is inconclusive, with some studies in favor of their use while others did not show significant improvement with lactobacilli using the American College of Rheumatology (ACR) response criteria for RA .",,
44,27102666,Collinsella,102106,genus,,IL17A,3605,activation,low-throughput,causally,human,"fecal,Caco-2 cells",cell culture,"16S rRNA sequence,RT-qPCR","Our data demonstrate that a dysbiotic gut microbiota in RA patients, characterized by a decrease in Faecalibacterium and expansion of C. aerofaciens and E. lenta, could trigger inflammatory conditions in the gut that depend on the production of chemokines and IL-17A and compromise the gut epithelium integrity. It is possible that the inflammatory conditions can be modulated by prebiotics or probiotics. The therapeutic potential of the only probiotics, lactobacilli, used as treatment for RA is inconclusive, with some studies in favor of their use while others did not show significant improvement with lactobacilli using the American College of Rheumatology (ACR) response criteria for RA .",,
45,28109017,Clostridium butyricum,1492,species,B1,Pparg,19016,activation,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,PPAR-¦Á and PPAR-¦Ã mRNAs in the epididymal fat tissue were significantly downregulated in the HFD group compared with the control group and significantly upregulated after CB intervention.,,
45,28109017,Clostridium butyricum,1492,species,B1,Ppara,19013,activation,low-throughput,causally,mouse,epididymal fat tissue,in vivo infection experiment,RT-PCR,PPAR-¦Á and PPAR-¦Ã mRNAs in the epididymal fat tissue were significantly downregulated in the HFD group compared with the control group and significantly upregulated after CB intervention.,,
45,28109017,Clostridium butyricum,1492,species,B1,Ccl2,20296,inhibition,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"The mRNA levels of TNF-¦Á, MCP-1, IL-1¦Â, IL-2, IL-6 and IL-10 were upregulated in the HFD group compared with the control group, all of which were reduced by CB  intervention.",rheumatoid arthritis,DOID:7148
45,28109017,Clostridium butyricum,1492,species,B1,Il1b,16176,inhibition,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"The mRNA levels of TNF-¦Á, MCP-1, IL-1¦Â, IL-2, IL-6 and IL-10 were upregulated in the HFD group compared with the control group, all of which were reduced by CB  intervention.",rheumatoid arthritis,DOID:7148
45,28109017,Clostridium butyricum,1492,species,B1,Il2,16183,inhibition,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"The mRNA levels of TNF-¦Á, MCP-1, IL-1¦Â, IL-2, IL-6 and IL-10 were upregulated in the HFD group compared with the control group, all of which were reduced by CB  intervention.",rheumatoid arthritis,DOID:7148
45,28109017,Clostridium butyricum,1492,species,B1,Il6,16193,inhibition,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"The mRNA levels of TNF-¦Á, MCP-1, IL-1¦Â, IL-2, IL-6 and IL-10 were upregulated in the HFD group compared with the control group, all of which were reduced by CB  intervention.",rheumatoid arthritis,DOID:7148
45,28109017,Clostridium butyricum,1492,species,B1,Il10,16153,inhibition,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"The mRNA levels of TNF-¦Á, MCP-1, IL-1¦Â, IL-2, IL-6 and IL-10 were upregulated in the HFD group compared with the control group, all of which were reduced by CB  intervention.",non-alcoholic steatohepatitis,DOID:80547
45,28109017,Clostridium butyricum,1492,species,B1,Foxp3,20371,activation,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"CB intervention effectively reversed these imbalanced immune factors, which increased the levels of Foxp3, IL-4 and IL-22 and decreased IFN-¦Ã and IL-17 in the liver and ileum.",non-alcoholic steatohepatitis,DOID:80547
45,28109017,Clostridium butyricum,1492,species,B1,Il4,16189,activation,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"CB intervention effectively reversed these imbalanced immune factors, which increased the levels of Foxp3, IL-4 and IL-22 and decreased IFN-¦Ã and IL-17 in the liver and ileum.",non-alcoholic steatohepatitis,DOID:80547
45,28109017,Clostridium butyricum,1492,species,B1,Ifng,15978,inhibition,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"CB intervention effectively reversed these imbalanced immune factors, which increased the levels of Foxp3, IL-4 and IL-22 and decreased IFN-¦Ã and IL-17 in the liver and ileum.",non-alcoholic steatohepatitis,DOID:80547
45,28109017,Clostridium butyricum,1492,species,B1,Il17a,16171,inhibition,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"CB intervention effectively reversed these imbalanced immune factors, which increased the levels of Foxp3, IL-4 and IL-22 and decreased IFN-¦Ã and IL-17 in the liver and ileum.",non-alcoholic steatohepatitis,DOID:80547
45,28109017,Clostridium butyricum,1492,species,B1,Il22,50929,activation,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"CB intervention effectively reversed these imbalanced immune factors, which increased the levels of Foxp3, IL-4 and IL-22 and decreased IFN-¦Ã and IL-17 in the liver and ileum.",non-alcoholic steatohepatitis,DOID:80547
45,28109017,Clostridium butyricum,1492,species,B1,Tnf,21926,inhibition,low-throughput,causally,mouse,epididymal fat tissue¡¢liver¡¢ileum,in vivo infection experiment,RT-PCR,"The mRNA levels of TNF-¦Á, MCP-1, IL-1¦Â, IL-2, IL-6 and IL-10 were upregulated in the HFD group compared with the control group, all of which were reduced by CB  intervention.",non-alcoholic steatohepatitis,DOID:80547
46,18234854,Enterococcus faecalis,1351,species,,IL10,3586,activation,low-throughput,causally,human,"HT-29 cells,colon",cell culture,"Western blot assay,RT-PCR","Here, we show that in colonic cell lines and in primary colonic cells, Enterococcus faecalis isolated from newborn babies possess the ability to regulate peroxisome proliferator-activated receptor-¦Ã1 (PPAR¦Ã1) activity through phosphorylation. This results in elevated DNA binding and transcriptional activation of downstream target genes, including IL-10, a cytokine known to modulate innate immune function. Furthermore, phosphorylation appears tightly regulated as phospho-PPAR¦Ã1 becomes an immediate substrate for degradation possibly to curtail any extended transactivation. The involvement of PPAR¦Ã1 in a myriad of physiological processes further confirms that microflora-driven regulation might be important for a number of homeostatic strategies in the gut.",non-alcoholic steatohepatitis,DOID:80547
46,18234854,Enterococcus faecalis,1351,species,,ANGPTL4,51129,activation,low-throughput,causally,human,"HT-29 cells,colon",cell culture,"Western blot assay,RT-PCR","Here, we show that in colonic cell lines and in primary colonic cells, Enterococcus faecalis isolated from newborn babies possess the ability to regulate peroxisome proliferator-activated receptor-¦Ã1 (PPAR¦Ã1) activity through phosphorylation. This results in elevated DNA binding and transcriptional activation of downstream target genes, including IL-10, a cytokine known to modulate innate immune function. Furthermore, phosphorylation appears tightly regulated as phospho-PPAR¦Ã1 becomes an immediate substrate for degradation possibly to curtail any extended transactivation. The involvement of PPAR¦Ã1 in a myriad of physiological processes further confirms that microflora-driven regulation might be important for a number of homeostatic strategies in the gut.",non-alcoholic steatohepatitis,DOID:80547
46,18234854,Enterococcus faecalis,1351,species,,PLIN2,123,activation,low-throughput,causally,human,"HT-29 cells,colon",cell culture,"Western blot assay,RT-PCR","Here, we show that in colonic cell lines and in primary colonic cells, Enterococcus faecalis isolated from newborn babies possess the ability to regulate peroxisome proliferator-activated receptor-¦Ã1 (PPAR¦Ã1) activity through phosphorylation. This results in elevated DNA binding and transcriptional activation of downstream target genes, including IL-10, a cytokine known to modulate innate immune function. Furthermore, phosphorylation appears tightly regulated as phospho-PPAR¦Ã1 becomes an immediate substrate for degradation possibly to curtail any extended transactivation. The involvement of PPAR¦Ã1 in a myriad of physiological processes further confirms that microflora-driven regulation might be important for a number of homeostatic strategies in the gut.",non-alcoholic steatohepatitis,DOID:80547
46,18234854,Enterococcus faecalis,1351,species,,PPARG,5468,activation,low-throughput,causally,human,"HT-29 cells,colon",cell culture,"Western blot assay,RT-PCR","Here, we show that in colonic cell lines and in primary colonic cells, Enterococcus faecalis isolated from newborn babies possess the ability to regulate peroxisome proliferator-activated receptor-¦Ã1 (PPAR¦Ã1) activity through phosphorylation. This results in elevated DNA binding and transcriptional activation of downstream target genes, including IL-10, a cytokine known to modulate innate immune function. Furthermore, phosphorylation appears tightly regulated as phospho-PPAR¦Ã1 becomes an immediate substrate for degradation possibly to curtail any extended transactivation. The involvement of PPAR¦Ã1 in a myriad of physiological processes further confirms that microflora-driven regulation might be important for a number of homeostatic strategies in the gut.",non-alcoholic steatohepatitis,DOID:80547
